%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=212448, 2017/09/26 20:17:35.49)
1 21 1.066610e+00 2.240698e+01  9.982192935874668365e+02  1.000000000000000000e+04  1.000197093931002382e+04  1.000279734300544806e+04
2 41 1.027591e+00 2.241336e+01  9.982192935874668365e+02  1.000175319245902938e+04  1.000195553535270847e+04  1.000262884084135294e+04
3 61 1.000037e+00 2.242718e+01  9.982192935874668365e+02  1.000181949050411640e+04  1.000207209763281935e+04  1.000263412878088093e+04
4 81 9.784903e-01 2.243702e+01  9.982192935874668365e+02  1.000181531588535290e+04  1.000208470960229170e+04  1.000254169066635222e+04
5 101 9.584703e-01 2.244034e+01  9.982192935874668365e+02  1.000176692208670102e+04  1.000202184944563123e+04  1.000247998405482213e+04
6 121 9.428947e-01 2.246527e+01  9.982192935874668365e+02  1.000179379757155039e+04  1.000197871469721213e+04  1.000254743432284158e+04
7 141 9.299669e-01 2.247199e+01  9.982192935874668365e+02  9.993733941157194067e+02  1.000194915109736030e+04  1.000250173577830537e+04
8 161 9.183567e-01 2.248527e+01  9.982192935874668365e+02  1.000178947657123354e+04  1.000200772721450994e+04  1.000239930367178022e+04
9 181 9.071038e-01 2.249088e+01  9.982192935874668365e+02  1.000177630577407035e+04  1.000191795672830631e+04  1.000274612319211155e+04
10 201 8.947053e-01 2.251060e+01  9.982192935874668365e+02  1.000180710768611425e+04  1.000203438896690568e+04  1.000249642640227830e+04
11 221 8.858899e-01 2.253629e+01  9.982192935874668365e+02  1.000180447887579430e+04  1.000193354940553945e+04  1.000252598132645471e+04
12 241 8.817547e-01 2.254329e+01  9.982192935874668365e+02  1.000179278187750060e+04  1.000190400121000857e+04  1.000256713125704118e+04
13 261 8.750561e-01 2.255471e+01  9.982192935874668365e+02  1.000180276742009482e+04  1.000193648216366455e+04  1.000205084543535122e+04
14 281 8.683118e-01 2.256756e+01  9.982192935874668365e+02  1.000177668177361920e+04  1.000199507254061245e+04  1.000241359868723885e+04
15 301 8.617051e-01 2.257957e+01  9.982192935874668365e+02  1.000179334127046241e+04  1.000192241706684399e+04  1.000251291009637134e+04
16 321 8.564790e-01 2.258400e+01  9.982192935874668365e+02  1.000179582500524884e+04  1.000204801743778444e+04  1.000241306157520557e+04
17 341 8.510823e-01 2.259582e+01  9.982192935874668365e+02  1.000179357981162684e+04  1.000193393096631189e+04  1.000236273972267554e+04
18 361 8.458682e-01 2.259966e+01  9.982192935874668365e+02  1.000180479113551155e+04  1.000202675784820349e+04  1.000276766163507455e+04
19 381 8.411140e-01 2.261326e+01  9.982192935874668365e+02  1.000180841666227025e+04  1.000196030434975546e+04  1.000238485173460685e+04
20 401 8.336830e-01 2.262235e+01  9.982192935874668365e+02  1.000178513156087865e+04  1.000192517031802709e+04  1.000243309394868447e+04
21 421 8.276110e-01 2.262607e+01  9.982192935874668365e+02  1.000177490007830784e+04  1.000187588275163216e+04  1.000233927667430544e+04
22 441 8.255473e-01 2.263648e+01  9.982192935874668365e+02  1.000179572367500805e+04  1.000193191627118358e+04  1.000225497881202318e+04
23 461 8.235468e-01 2.265444e+01  9.982192935874668365e+02  1.000181617594074669e+04  1.000191073766256886e+04  1.000235807986527107e+04
24 481 8.239740e-01 2.265667e+01  9.982192935874668365e+02  1.000177328204476544e+04  1.000188974396180129e+04  1.000215484462703171e+04
25 501 8.263324e-01 2.269385e+01  9.982192935874668365e+02  1.000177335204788687e+04  1.000198297557758997e+04  1.000250650862230759e+04
26 521 8.286221e-01 2.271246e+01  9.982192935874668365e+02  1.000176852106552724e+04  1.000190759825795067e+04  1.000233048380402397e+04
27 541 8.332238e-01 2.272721e+01  9.982192935874668365e+02  1.000175138301440529e+04  1.000189142860727588e+04  1.000232458598386074e+04
28 561 8.367014e-01 2.273886e+01  9.982192935874668365e+02  1.000179362777249116e+04  1.000191265723142897e+04  1.000209320030723939e+04
29 581 8.384429e-01 2.275953e+01  9.982192935874668365e+02  1.000179701879039203e+04  1.000193477235089085e+04  1.000246509419449467e+04
30 601 8.402669e-01 2.276307e+01  9.982192935874668365e+02  1.000000000000000000e+04  1.000196821279544201e+04  1.000235046483820952e+04
31 621 8.377579e-01 2.278517e+01  9.982192935874668365e+02  1.000179706316442935e+04  1.000188778173449282e+04  1.000223526411117746e+04
32 641 8.303411e-01 2.279879e+01  9.982192935874668365e+02  1.000177506136361626e+04  1.000196794408017013e+04  1.000251698962968112e+04
33 661 8.235964e-01 2.280408e+01  9.982192935874668365e+02  1.000176069058623943e+04  1.000190691378742122e+04  1.000233470913595374e+04
34 681 8.177370e-01 2.280989e+01  9.982192935874668365e+02  1.000177538980846475e+04  1.000185607847472056e+04  1.000229438634079452e+04
35 701 8.125413e-01 2.280706e+01  9.982192935874668365e+02  1.000175581401666022e+04  1.000196328573934625e+04  1.000237845752988869e+04
36 721 8.062753e-01 2.281250e+01  9.982192935874668365e+02  1.000175146489936196e+04  1.000190003301948673e+04  1.000243661134712238e+04
37 741 8.007897e-01 2.282815e+01  9.982192935874668365e+02  1.000179345089719391e+04  1.000199668765382739e+04  1.000251809071808748e+04
38 761 7.928971e-01 2.283881e+01  9.982192935874668365e+02  1.000177013526522569e+04  1.000197492688660896e+04  1.000235288390937603e+04
39 781 7.834448e-01 2.284043e+01  9.982192935874668365e+02  1.000180911444661069e+04  1.000198196455752986e+04  1.000232361899905300e+04
40 801 7.769043e-01 2.284115e+01  9.982192935874668365e+02  1.000181206136459332e+04  1.000190492854634249e+04  1.000211110865694718e+04
41 821 7.730867e-01 2.284305e+01  9.982192935874668365e+02  1.000180131641893240e+04  1.000191318903429419e+04  1.000236337660119898e+04
42 841 7.673616e-01 2.285518e+01  9.982192935874668365e+02  1.000175862092459465e+04  1.000186335678442629e+04  1.000201638854090743e+04
43 861 7.618805e-01 2.287274e+01  9.982192935874668365e+02  1.000177421057823813e+04  1.000185265219214853e+04  1.000208147477454986e+04
44 881 7.586120e-01 2.287967e+01  9.982192935874668365e+02  1.000000000000000000e+04  1.000186526478753876e+04  1.000232976800774304e+04
45 901 7.563638e-01 2.288045e+01  9.982192935874668365e+02  1.000177902032585007e+04  1.000185648432353810e+04  1.000210652997829675e+04
46 921 7.538780e-01 2.288989e+01  9.982192935874668365e+02  1.000000000000000000e+04  1.000184928932383627e+04  1.000236654387303315e+04
47 941 7.545761e-01 2.289612e+01  9.982192935874668365e+02  1.000176415900818029e+04  1.000185939185623465e+04  1.000222309782867887e+04
48 961 7.553582e-01 2.290784e+01  9.982192935874668365e+02  1.000176303324645414e+04  1.000189182617493861e+04  1.000326605281472075e+04
49 981 7.573087e-01 2.290846e+01  9.982192935874668365e+02  1.000175673652887417e+04  1.000188778237484257e+04  1.000208901865667576e+04
