%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=212176, 2017/10/3 18:24:49.77)
1 21 1.877138e-01 1.036598e+00 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.938925e-01 9.941620e-01 9.952593e-01 9.980853e-01 9.984440e-01 9.998814e-01 1.002178e+00 1.011372e+00 1.013237e+00 1.023225e+00 1.036598e+00 
2 41 1.779752e-01 1.042438e+00 9.878223e-01 9.878223e-01 9.878223e-01 9.878223e-01 9.878223e-01 9.878223e-01 9.878223e-01 9.878223e-01 9.879414e-01 9.881315e-01 9.884096e-01 9.887760e-01 9.892276e-01 9.898384e-01 9.903599e-01 9.906829e-01 9.918484e-01 9.927939e-01 9.929788e-01 9.958033e-01 9.977820e-01 1.000457e+00 1.002767e+00 1.013222e+00 1.017479e+00 1.021798e+00 1.030059e+00 1.042438e+00 
3 61 1.685775e-01 1.043013e+00 9.818150e-01 9.818150e-01 9.818553e-01 9.820911e-01 9.822801e-01 9.825366e-01 9.826972e-01 9.833259e-01 9.835547e-01 9.838581e-01 9.843610e-01 9.855228e-01 9.861460e-01 9.870630e-01 9.875565e-01 9.903298e-01 9.903821e-01 9.919816e-01 9.958334e-01 9.968730e-01 9.999268e-01 1.004291e+00 1.009427e+00 1.014433e+00 1.019916e+00 1.025534e+00 1.032654e+00 1.043013e+00 
4 81 1.655091e-01 1.065514e+00 9.762785e-01 9.762785e-01 9.763928e-01 9.768209e-01 9.770292e-01 9.775267e-01 9.783264e-01 9.792437e-01 9.800550e-01 9.801755e-01 9.816378e-01 9.823289e-01 9.831493e-01 9.843464e-01 9.867885e-01 9.876228e-01 9.919689e-01 9.934045e-01 9.951933e-01 9.961975e-01 9.995307e-01 1.008126e+00 1.011672e+00 1.015076e+00 1.023654e+00 1.025228e+00 1.039317e+00 1.065514e+00 
5 101 1.594182e-01 1.069552e+00 9.707405e-01 9.707405e-01 9.708526e-01 9.713998e-01 9.727561e-01 9.735841e-01 9.744895e-01 9.750552e-01 9.752513e-01 9.772936e-01 9.779502e-01 9.808137e-01 9.812027e-01 9.827792e-01 9.846099e-01 9.850276e-01 9.903051e-01 9.927673e-01 9.952817e-01 9.977200e-01 1.005498e+00 1.007564e+00 1.013698e+00 1.017932e+00 1.020461e+00 1.030535e+00 1.040161e+00 1.069552e+00 
6 121 1.567062e-01 1.077676e+00 9.659534e-01 9.659534e-01 9.664610e-01 9.679775e-01 9.685932e-01 9.694886e-01 9.698711e-01 9.708170e-01 9.722649e-01 9.741398e-01 9.760214e-01 9.766281e-01 9.771371e-01 9.797728e-01 9.821865e-01 9.851046e-01 9.905374e-01 9.925912e-01 9.962408e-01 1.001692e+00 1.002873e+00 1.006572e+00 1.012890e+00 1.015700e+00 1.021857e+00 1.032122e+00 1.041533e+00 1.077676e+00 
7 141 1.508124e-01 1.081403e+00 9.610479e-01 9.610479e-01 9.622310e-01 9.637235e-01 9.647561e-01 9.653131e-01 9.673124e-01 9.687205e-01 9.701305e-01 9.714970e-01 9.729534e-01 9.753838e-01 9.772619e-01 9.787230e-01 9.831937e-01 9.855938e-01 9.880850e-01 9.922690e-01 9.968877e-01 9.986914e-01 1.000694e+00 1.004897e+00 1.010569e+00 1.021459e+00 1.025310e+00 1.029488e+00 1.048963e+00 1.081403e+00 
8 161 1.436093e-01 1.090819e+00 9.557218e-01 9.557218e-01 9.576687e-01 9.593961e-01 9.617290e-01 9.631565e-01 9.646723e-01 9.651202e-01 9.679317e-01 9.684432e-01 9.717764e-01 9.726892e-01 9.741428e-01 9.782921e-01 9.805856e-01 9.842324e-01 9.911297e-01 9.925080e-01 9.978678e-01 1.000295e+00 1.001800e+00 1.010440e+00 1.016346e+00 1.024136e+00 1.027783e+00 1.033752e+00 1.048133e+00 1.090819e+00 
9 181 1.376438e-01 1.093867e+00 9.504555e-01 9.504555e-01 9.526711e-01 9.547947e-01 9.574207e-01 9.581283e-01 9.596770e-01 9.618249e-01 9.638569e-01 9.675608e-01 9.697882e-01 9.718138e-01 9.743459e-01 9.773031e-01 9.779269e-01 9.845581e-01 9.891344e-01 9.914279e-01 9.980383e-01 1.000669e+00 1.001638e+00 1.011353e+00 1.014966e+00 1.023385e+00 1.027024e+00 1.045884e+00 1.050014e+00 1.093867e+00 
10 201 1.332365e-01 1.097766e+00 9.459851e-01 9.459851e-01 9.496378e-01 9.507885e-01 9.529726e-01 9.553735e-01 9.570870e-01 9.597725e-01 9.602751e-01 9.647972e-01 9.675374e-01 9.694546e-01 9.708803e-01 9.756787e-01 9.768192e-01 9.841381e-01 9.854033e-01 9.887594e-01 9.960983e-01 9.979001e-01 1.001784e+00 1.008807e+00 1.013238e+00 1.020057e+00 1.025523e+00 1.044336e+00 1.062436e+00 1.097766e+00 
11 221 1.255358e-01 1.096207e+00 9.412219e-01 9.412219e-01 9.468294e-01 9.479952e-01 9.495030e-01 9.524218e-01 9.539490e-01 9.559547e-01 9.589361e-01 9.637904e-01 9.655361e-01 9.674150e-01 9.699804e-01 9.719171e-01 9.777848e-01 9.807368e-01 9.841670e-01 9.899341e-01 9.915560e-01 1.000845e+00 1.004339e+00 1.009570e+00 1.011298e+00 1.020611e+00 1.023577e+00 1.049972e+00 1.073876e+00 1.096207e+00 
