%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=207704, 2018/05/16 11:10:17.05)
1 21 1.067994e+00 2.240557e+01  1.990109188392073065e+03  1.990109188392073065e+03  1.994951924278931983e+03  1.996510579149480918e+03
2 41 1.033307e+00 2.242444e+01  1.990109188392073065e+03  1.990689533081561876e+03  1.994785234794016560e+03  1.998181038573363367e+03
3 61 1.008449e+00 2.242963e+01  1.990109188392073065e+03  1.990619007717727300e+03  1.994365279929273584e+03  1.998458886409167235e+03
4 81 9.911722e-01 2.244744e+01  1.990109188392073065e+03  1.992414973265112849e+03  1.993991023968897025e+03  1.996418350002584248e+03
5 101 9.803944e-01 2.246831e+01  1.987512895359550157e+03  1.987512895359550157e+03  1.993759871255556845e+03  1.996217764591675405e+03
6 121 9.698309e-01 2.247717e+01  1.981635352491798585e+03  1.981635352491798585e+03  1.993458297218759981e+03  2.000622387526139846e+03
7 141 9.610035e-01 2.248856e+01  1.981635352491798585e+03  1.986312503048847930e+03  1.993622237290338944e+03  1.996359073636111589e+03
8 161 9.507942e-01 2.249478e+01  1.981635352491798585e+03  1.988246570061713783e+03  1.993776162680977450e+03  1.996204963173228407e+03
9 181 9.462583e-01 2.250861e+01  1.981635352491798585e+03  1.988200008715401054e+03  1.993577047332041957e+03  1.998492322201525894e+03
10 201 9.408217e-01 2.251615e+01  1.981635352491798585e+03  1.989119010573403557e+03  1.992792082770593424e+03  1.996916126488737291e+03
11 221 9.427767e-01 2.252155e+01  1.981635352491798585e+03  1.991107294233835546e+03  1.994331658346289259e+03  1.997603455181819072e+03
12 241 9.426377e-01 2.253274e+01  1.981635352491798585e+03  1.990487747829092768e+03  1.993805670374331839e+03  1.997151165131187099e+03
13 261 9.422989e-01 2.253352e+01  1.981635352491798585e+03  1.986145497971046325e+03  1.993336332377183226e+03  1.996971503387421308e+03
14 281 9.426488e-01 2.254530e+01  1.981635352491798585e+03  1.990493154267820046e+03  1.993953179871580232e+03  1.998136377672565914e+03
15 301 9.392812e-01 2.254454e+01  1.980591929956622607e+03  1.980591929956622607e+03  1.992232488832376021e+03  1.997366299973872628e+03
16 321 9.366161e-01 2.255161e+01  1.980591929956622607e+03  1.981679465781290901e+03  1.992216573154838443e+03  1.996554039386486011e+03
17 341 9.377966e-01 2.255982e+01  1.980591929956622607e+03  1.983213249197642199e+03  1.992047567391284474e+03  1.994877140404910506e+03
18 361 9.424421e-01 2.256211e+01  1.980591929956622607e+03  1.986624020049107003e+03  1.993064278381599024e+03  1.995922059977107665e+03
19 381 9.496573e-01 2.256614e+01  1.972452441571161899e+03  1.972452441571161899e+03  1.992170221808843962e+03  1.997063354443371736e+03
20 401 9.514783e-01 2.256766e+01  1.968118799166975577e+03  1.968118799166975577e+03  1.991988261656430950e+03  1.999763900065092230e+03
21 421 9.506915e-01 2.257664e+01  1.968118799166975577e+03  1.980021486686360959e+03  1.991363423494881317e+03  1.996566271904596988e+03
22 441 9.542376e-01 2.258939e+01  1.968118799166975577e+03  1.984837965583366895e+03  1.992923147746334735e+03  1.995894725554312345e+03
23 461 9.549190e-01 2.258622e+01  1.968118799166975577e+03  1.983576030359840161e+03  1.989954002749533174e+03  1.996245551526473719e+03
24 481 9.563876e-01 2.258928e+01  1.968118799166975577e+03  1.969852445176529955e+03  1.990929287250415882e+03  1.995278175127640679e+03
25 501 9.567064e-01 2.258821e+01  1.529674425168952645e+01  1.529674425168952645e+01  1.990588468897431540e+03  1.996232717140987916e+03
26 521 9.547632e-01 2.259331e+01  1.529674425168952645e+01  1.980343339954226622e+03  1.990781034018071296e+03  1.994933364578489318e+03
27 541 9.489744e-01 2.259394e+01  1.529674425168952645e+01  1.976697385247604643e+03  1.988099981249474695e+03  1.993502333845221756e+03
28 561 9.491201e-01 2.259673e+01  1.529674425168952645e+01  1.972174618123431401e+03  1.986785718940605875e+03  1.996859321882617678e+03
29 581 9.462718e-01 2.259091e+01  1.318123566513531131e+01  1.318123566513531131e+01  1.988857246229305019e+03  1.994156053409960805e+03
30 601 9.401355e-01 2.261517e+01  1.318123566513531131e+01  1.468764889934257667e+01  1.990772208369530745e+03  1.998244794417313187e+03
31 621 9.358298e-01 2.262090e+01  1.318123566513531131e+01  1.564543527260260447e+01  1.991676824204744435e+03  1.998156142362470518e+03
