%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=207704, 2018/05/16 11:10:17.05)
1 21 1.067994e+00 9.996814e-01 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.461753e-02 4.462264e-02 4.463766e-02 4.464749e-02 4.466835e-02 4.469241e-02 4.471291e-02 4.474151e-02 4.476169e-02 4.480905e-02 4.491684e-02 5.357132e-02 2.677052e-01 2.677058e-01 2.677080e-01 2.677115e-01 2.677160e-01 2.677420e-01 2.677787e-01 2.678150e-01 2.679052e-01 2.680623e-01 2.681121e-01 3.926987e-01 3.927481e-01 3.928005e-01 3.931945e-01 4.461815e-01 4.462058e-01 4.462346e-01 4.462703e-01 4.463009e-01 4.463340e-01 4.465701e-01 4.473094e-01 8.388096e-01 8.388106e-01 8.388136e-01 8.388436e-01 8.388527e-01 8.388700e-01 8.389651e-01 8.389905e-01 8.395376e-01 8.396004e-01 8.404389e-01 9.996814e-01 
2 41 1.033307e+00 9.999556e-01 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459222e-02 4.459587e-02 4.459829e-02 4.460543e-02 4.460768e-02 4.461686e-02 4.462413e-02 4.463721e-02 4.464697e-02 4.465481e-02 4.466720e-02 4.467679e-02 4.468813e-02 4.470300e-02 4.470750e-02 4.471865e-02 4.475758e-02 4.482264e-02 4.483651e-02 4.491222e-02 4.501221e-02 5.355686e-02 2.675720e-01 2.675855e-01 2.675939e-01 2.676025e-01 2.676329e-01 2.677387e-01 2.677853e-01 2.678456e-01 2.678758e-01 2.680586e-01 2.683225e-01 3.925736e-01 3.926588e-01 3.928594e-01 3.934823e-01 4.459806e-01 4.460381e-01 4.460652e-01 4.461355e-01 4.463018e-01 4.464121e-01 4.468271e-01 4.473514e-01 8.383637e-01 8.383817e-01 8.383974e-01 8.385250e-01 8.386152e-01 8.387059e-01 8.387954e-01 8.388603e-01 8.397433e-01 8.399696e-01 8.402007e-01 9.999556e-01 
3 61 1.008449e+00 9.996195e-01 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456692e-02 4.456904e-02 4.456980e-02 4.457178e-02 4.457477e-02 4.457532e-02 4.457854e-02 4.457985e-02 4.458354e-02 4.459219e-02 4.459629e-02 4.460275e-02 4.461400e-02 4.461785e-02 4.462096e-02 4.463012e-02 4.463986e-02 4.465443e-02 4.465948e-02 4.466314e-02 4.466949e-02 4.469421e-02 4.471026e-02 4.471736e-02 4.474942e-02 4.481837e-02 4.482409e-02 4.485881e-02 4.492030e-02 4.496227e-02 4.505137e-02 5.354543e-02 2.674280e-01 2.674798e-01 2.674919e-01 2.675044e-01 2.676343e-01 2.676926e-01 2.677166e-01 2.678311e-01 2.678940e-01 2.681129e-01 2.683285e-01 3.924281e-01 3.927590e-01 3.931788e-01 3.934674e-01 4.458284e-01 4.459743e-01 4.459820e-01 4.460947e-01 4.463082e-01 4.464445e-01 4.468301e-01 4.472732e-01 8.379900e-01 8.381280e-01 8.382057e-01 8.382880e-01 8.384017e-01 8.385665e-01 8.386185e-01 8.392476e-01 8.395152e-01 8.397846e-01 8.402932e-01 9.996195e-01 
4 81 9.911722e-01 9.998454e-01 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454163e-02 4.454281e-02 4.454297e-02 4.454462e-02 4.454550e-02 4.454671e-02 4.454696e-02 4.455057e-02 4.455172e-02 4.455210e-02 4.455241e-02 4.455488e-02 4.455591e-02 4.456249e-02 4.456781e-02 4.457100e-02 4.457569e-02 4.457995e-02 4.458843e-02 4.458997e-02 4.459339e-02 4.460597e-02 4.461797e-02 4.462014e-02 4.462729e-02 4.463229e-02 4.464027e-02 4.465579e-02 4.466688e-02 4.468619e-02 4.470293e-02 4.472961e-02 4.473705e-02 4.475612e-02 4.482249e-02 4.484714e-02 4.486847e-02 4.490953e-02 4.495603e-02 4.500222e-02 4.514332e-02 5.352827e-02 2.673275e-01 2.673742e-01 2.673958e-01 2.675409e-01 2.675771e-01 2.676316e-01 2.676697e-01 2.677896e-01 2.680003e-01 2.680257e-01 2.682709e-01 3.923021e-01 3.927060e-01 3.931694e-01 3.936956e-01 4.455944e-01 4.457695e-01 4.458011e-01 4.460875e-01 4.461871e-01 4.464655e-01 4.467382e-01 4.471140e-01 8.376327e-01 8.378231e-01 8.379608e-01 8.380766e-01 8.382646e-01 8.383304e-01 8.384766e-01 8.390362e-01 8.391535e-01 8.398431e-01 8.415490e-01 9.998454e-01 
5 101 9.803944e-01 1.000207e+00 4.451636e-02 4.451636e-02 4.451636e-02 4.451636e-02 4.451636e-02 4.451636e-02 4.451636e-02 4.451636e-02 4.451662e-02 4.451689e-02 4.451717e-02 4.451774e-02 4.451845e-02 4.451886e-02 4.451938e-02 4.452001e-02 4.452081e-02 4.452200e-02 4.452374e-02 4.452499e-02 4.452596e-02 4.452731e-02 4.453090e-02 4.453412e-02 4.453636e-02 4.453925e-02 4.454212e-02 4.454335e-02 4.454735e-02 4.455087e-02 4.455834e-02 4.456563e-02 4.456863e-02 4.457208e-02 4.457712e-02 4.458265e-02 4.458683e-02 4.459852e-02 4.460277e-02 4.460794e-02 4.460921e-02 4.463111e-02 4.464007e-02 4.464576e-02 4.465927e-02 4.468210e-02 4.468756e-02 4.470693e-02 4.475219e-02 4.478388e-02 4.480380e-02 4.481747e-02 4.488077e-02 4.489903e-02 4.492520e-02 4.501281e-02 4.504430e-02 4.528739e-02 5.351188e-02 2.671949e-01 2.673004e-01 2.673562e-01 2.674533e-01 2.675196e-01 2.675379e-01 2.676804e-01 2.677136e-01 2.680212e-01 2.681830e-01 2.682281e-01 3.922814e-01 3.925946e-01 3.930743e-01 3.935697e-01 4.454480e-01 4.457721e-01 4.457969e-01 4.462010e-01 4.462515e-01 4.466279e-01 4.467343e-01 4.472266e-01 8.374043e-01 8.375568e-01 8.377137e-01 8.378847e-01 8.380230e-01 8.382099e-01 8.387126e-01 8.387232e-01 8.395462e-01 8.404381e-01 8.417876e-01 1.000207e+00 
6 121 9.698309e-01 1.000035e+00 4.449116e-02 4.449116e-02 4.449126e-02 4.449166e-02 4.449227e-02 4.449285e-02 4.449345e-02 4.449357e-02 4.449393e-02 4.449511e-02 4.449662e-02 4.449723e-02 4.449784e-02 4.449895e-02 4.450009e-02 4.450275e-02 4.450539e-02 4.450617e-02 4.450833e-02 4.450988e-02 4.451051e-02 4.451557e-02 4.451872e-02 4.452320e-02 4.452473e-02 4.453071e-02 4.453490e-02 4.453731e-02 4.454056e-02 4.454521e-02 4.454938e-02 4.456067e-02 4.456566e-02 4.457186e-02 4.457290e-02 4.457747e-02 4.458173e-02 4.458881e-02 4.459496e-02 4.461740e-02 4.462039e-02 4.463720e-02 4.464625e-02 4.466142e-02 4.467058e-02 4.469171e-02 4.470124e-02 4.472990e-02 4.475998e-02 4.479881e-02 4.481612e-02 4.486352e-02 4.486927e-02 4.489392e-02 4.495512e-02 4.504841e-02 4.510838e-02 4.538619e-02 5.349156e-02 2.671086e-01 2.671961e-01 2.673053e-01 2.673905e-01 2.674163e-01 2.675603e-01 2.675956e-01 2.677999e-01 2.680624e-01 2.681550e-01 2.685785e-01 3.921259e-01 3.924554e-01 3.931641e-01 3.935632e-01 4.453426e-01 4.455390e-01 4.458659e-01 4.460692e-01 4.462217e-01 4.466045e-01 4.471108e-01 4.471516e-01 8.370265e-01 8.372404e-01 8.375355e-01 8.376174e-01 8.378942e-01 8.381636e-01 8.385382e-01 8.386390e-01 8.393618e-01 8.401789e-01 8.418356e-01 1.000035e+00 
7 141 9.610035e-01 9.999934e-01 4.446676e-02 4.446676e-02 4.446713e-02 4.446849e-02 4.446985e-02 4.447067e-02 4.447100e-02 4.447200e-02 4.447328e-02 4.447501e-02 4.447650e-02 4.447837e-02 4.448147e-02 4.448186e-02 4.448561e-02 4.448679e-02 4.448846e-02 4.449266e-02 4.449503e-02 4.449704e-02 4.450007e-02 4.450397e-02 4.450659e-02 4.450965e-02 4.451306e-02 4.451486e-02 4.451732e-02 4.452387e-02 4.452647e-02 4.453935e-02 4.454165e-02 4.454869e-02 4.455048e-02 4.455680e-02 4.456439e-02 4.457295e-02 4.458303e-02 4.459979e-02 4.460579e-02 4.462072e-02 4.462427e-02 4.463375e-02 4.464491e-02 4.466443e-02 4.467802e-02 4.468548e-02 4.469716e-02 4.472172e-02 4.477424e-02 4.481748e-02 4.484836e-02 4.485562e-02 4.487860e-02 4.494469e-02 4.497635e-02 4.504274e-02 4.515309e-02 4.549626e-02 5.348462e-02 2.670094e-01 2.671139e-01 2.672658e-01 2.673763e-01 2.674892e-01 2.675677e-01 2.676209e-01 2.677963e-01 2.681162e-01 2.681457e-01 2.687993e-01 3.920597e-01 3.924618e-01 3.930600e-01 3.935287e-01 4.453480e-01 4.455498e-01 4.456722e-01 4.459196e-01 4.461165e-01 4.466276e-01 4.469590e-01 4.471564e-01 8.368546e-01 8.369084e-01 8.372028e-01 8.372861e-01 8.376500e-01 8.382288e-01 8.382884e-01 8.383204e-01 8.393698e-01 8.403635e-01 8.423361e-01 9.999934e-01 
8 161 9.507942e-01 9.997200e-01 4.444231e-02 4.444231e-02 4.444451e-02 4.444607e-02 4.444691e-02 4.444733e-02 4.444971e-02 4.445072e-02 4.445168e-02 4.445376e-02 4.445604e-02 4.445803e-02 4.446366e-02 4.446467e-02 4.446684e-02 4.447287e-02 4.447356e-02 4.447746e-02 4.448208e-02 4.448260e-02 4.448339e-02 4.448878e-02 4.448965e-02 4.449532e-02 4.449696e-02 4.450692e-02 4.451041e-02 4.451411e-02 4.452342e-02 4.453019e-02 4.453094e-02 4.453707e-02 4.454428e-02 4.455926e-02 4.457509e-02 4.457926e-02 4.458413e-02 4.459875e-02 4.461118e-02 4.462425e-02 4.462908e-02 4.463820e-02 4.465394e-02 4.466870e-02 4.469823e-02 4.470585e-02 4.470971e-02 4.472583e-02 4.477663e-02 4.481200e-02 4.484216e-02 4.486417e-02 4.489600e-02 4.495070e-02 4.500038e-02 4.510258e-02 4.517327e-02 4.560392e-02 5.346299e-02 2.669528e-01 2.670917e-01 2.671596e-01 2.672986e-01 2.674039e-01 2.676125e-01 2.677226e-01 2.678119e-01 2.680417e-01 2.681368e-01 2.689745e-01 3.919242e-01 3.923868e-01 3.930764e-01 3.934421e-01 4.452378e-01 4.453763e-01 4.455156e-01 4.459595e-01 4.462526e-01 4.467292e-01 4.469073e-01 4.474424e-01 8.366273e-01 8.368457e-01 8.370322e-01 8.371862e-01 8.375080e-01 8.379099e-01 8.379873e-01 8.384140e-01 8.394320e-01 8.405334e-01 8.425709e-01 9.997200e-01 
9 181 9.462583e-01 9.998220e-01 4.441953e-02 4.441953e-02 4.442187e-02 4.442348e-02 4.442454e-02 4.442665e-02 4.442803e-02 4.443013e-02 4.443342e-02 4.443579e-02 4.443872e-02 4.444106e-02 4.444594e-02 4.444961e-02 4.445253e-02 4.445634e-02 4.445693e-02 4.445979e-02 4.446013e-02 4.446766e-02 4.446962e-02 4.447456e-02 4.448125e-02 4.448533e-02 4.449364e-02 4.449741e-02 4.450179e-02 4.451599e-02 4.451811e-02 4.452346e-02 4.452820e-02 4.453697e-02 4.454624e-02 4.454843e-02 4.456354e-02 4.457677e-02 4.457799e-02 4.459650e-02 4.460965e-02 4.461458e-02 4.463531e-02 4.464614e-02 4.465612e-02 4.467723e-02 4.469028e-02 4.472578e-02 4.473229e-02 4.476404e-02 4.480095e-02 4.482161e-02 4.484331e-02 4.485427e-02 4.489419e-02 4.497089e-02 4.505055e-02 4.509065e-02 4.518886e-02 4.575347e-02 5.344870e-02 2.668633e-01 2.670628e-01 2.671452e-01 2.672412e-01 2.673455e-01 2.675132e-01 2.677870e-01 2.678598e-01 2.680178e-01 2.681734e-01 2.691446e-01 3.918016e-01 3.923618e-01 3.930020e-01 3.933067e-01 4.450385e-01 4.453174e-01 4.455730e-01 4.459685e-01 4.462115e-01 4.466299e-01 4.471015e-01 4.475016e-01 8.364023e-01 8.366947e-01 8.367980e-01 8.371682e-01 8.374926e-01 8.378513e-01 8.379838e-01 8.388736e-01 8.404214e-01 8.408456e-01 8.427561e-01 9.998220e-01 
10 201 9.408217e-01 9.996951e-01 4.439902e-02 4.439902e-02 4.440112e-02 4.440364e-02 4.440424e-02 4.440517e-02 4.440769e-02 4.440955e-02 4.441209e-02 4.441826e-02 4.442405e-02 4.442653e-02 4.442973e-02 4.443077e-02 4.443657e-02 4.444043e-02 4.444232e-02 4.444484e-02 4.444719e-02 4.445457e-02 4.445646e-02 4.446426e-02 4.447032e-02 4.448219e-02 4.448382e-02 4.449474e-02 4.449946e-02 4.450550e-02 4.451088e-02 4.451299e-02 4.451950e-02 4.452328e-02 4.454241e-02 4.455628e-02 4.456432e-02 4.457190e-02 4.458997e-02 4.460661e-02 4.461149e-02 4.461791e-02 4.464050e-02 4.465831e-02 4.466290e-02 4.466749e-02 4.469905e-02 4.472184e-02 4.476241e-02 4.478601e-02 4.479912e-02 4.482055e-02 4.484769e-02 4.485552e-02 4.495401e-02 4.496659e-02 4.505118e-02 4.510622e-02 4.519061e-02 4.586302e-02 5.343134e-02 2.668767e-01 2.669730e-01 2.670914e-01 2.672209e-01 2.672719e-01 2.674707e-01 2.677801e-01 2.678501e-01 2.680635e-01 2.682009e-01 2.693387e-01 3.916731e-01 3.922604e-01 3.929671e-01 3.933217e-01 4.448903e-01 4.453615e-01 4.454106e-01 4.459651e-01 4.462299e-01 4.464310e-01 4.472025e-01 4.477549e-01 8.359942e-01 8.363695e-01 8.367533e-01 8.368850e-01 8.372636e-01 8.377896e-01 8.380344e-01 8.387341e-01 8.401080e-01 8.408860e-01 8.433057e-01 9.996951e-01 
