%  columns="iteration, evaluation, void, void, void, xmean" (startseed=209069, 2017/08/2 9:28:26.70)
0 1 0 0 0 1.824464e+00 3.661753e-01 -3.151247e-01 -4.006416e-01 2.122246e+00 -1.759318e+00 1.990685e+00 -8.032701e-01 3.752576e+00 7.461333e-01 5.963008e-01 5.603385e-01 5.140069e-01 2.929615e+00 9.723691e-01 1.133832e+00 7.215569e-01 1.247331e+00 2.469598e+00 8.841940e-01 7.622136e-01 4.975853e-01 9.473929e-01 2.990523e-01 -3.657278e-01 2.367594e+00 1.079371e+00 8.575789e-01 1.313493e+00 4.248090e-01 -5.543416e-01 -2.340796e-01 1.908855e+00 -7.031252e-01 5.697458e-01 7.264487e-02 3.040908e-01 -7.536211e+00 7.772684e+00 -7.871120e-02 1.117520e-01 -9.113852e+00 1.011812e+01 -9.921092e+00 3.847453e+01 9.637780e+00 -1.531492e+01 3.418211e+00 4.300695e+00 -1.682163e+01 -2.285584e+01 6.565472e+00 8.842681e-01 2.942307e-01 -6.046349e-03 2.224625e-01 1.510221e-01 5.348071e-02 4.355532e-01 9.952606e-01 -6.168398e-01 8.532949e-01 1.685872e+00 -2.137242e-01 2.073479e+00 -6.529199e-01 -3.471616e+00 4.295235e-01 -1.378738e+00 1.811556e+00 2.768952e+01 4.270210e+00 1.353412e-01 1.260324e+00 1.137168e+00 1.794531e+00 -4.854924e+00 1.329838e+00 1.869789e+00 1.724554e+00 1.273268e+00 -1.122726e+00 1.164256e+00 9.544559e-02 1.220472e+00 -1.613138e+01 1.055214e-01 5.434089e-01 1.728412e+01 6.969564e+00 
1 21 0 0 0 1.826120e+00 3.549364e-01 -3.628673e-01 -3.957413e-01 2.159304e+00 -1.718095e+00 2.386581e+00 -8.651890e-01 3.627794e+00 7.328845e-01 5.361535e-01 3.669034e-01 6.798144e-01 3.078025e+00 9.968061e-01 1.145765e+00 7.010822e-01 1.276153e+00 2.527933e+00 9.007141e-01 7.545264e-01 4.707628e-01 9.917350e-01 2.557370e-01 -3.960663e-01 2.347016e+00 1.035700e+00 8.443217e-01 1.322742e+00 4.222588e-01 -5.212338e-01 -2.242651e-01 1.976151e+00 -6.634986e-01 5.263339e-01 1.037049e-01 4.274752e-01 -7.652918e+00 7.673307e+00 -4.863352e-02 4.934666e-01 -9.082260e+00 1.023721e+01 -9.230445e+00 3.819290e+01 9.696966e+00 -1.458195e+01 3.677274e+00 5.630265e+00 -1.722136e+01 -2.312040e+01 7.161149e+00 9.052570e-01 3.095535e-01 2.178295e-02 2.452690e-01 1.801706e-01 4.812362e-02 4.279621e-01 1.024771e+00 -6.444486e-01 8.160530e-01 1.705604e+00 -1.844117e-01 2.040865e+00 -6.421226e-01 -3.496860e+00 4.922765e-01 -1.364957e+00 1.836929e+00 2.740501e+01 4.163932e+00 1.453655e-01 1.279335e+00 1.118149e+00 1.612206e+00 -4.874509e+00 1.305596e+00 1.913386e+00 1.693005e+00 1.309371e+00 -1.110213e+00 1.175129e+00 7.960420e-02 1.123690e+00 -1.570847e+01 1.245919e-01 5.334259e-01 1.738863e+01 6.403090e+00 
2 41 0 0 0 2.372414e+00 3.499217e-01 -4.151407e-01 -4.285398e-01 2.110850e+00 -1.969515e+00 2.356675e+00 -9.214738e-01 3.513587e+00 7.372218e-01 4.064027e-01 5.537642e-01 4.251748e-01 3.033384e+00 9.667914e-01 1.146223e+00 7.273221e-01 1.304188e+00 2.484149e+00 8.988165e-01 8.047815e-01 4.661522e-01 9.261790e-01 2.954865e-01 -3.710817e-01 2.345550e+00 1.023888e+00 8.689897e-01 1.305999e+00 4.570382e-01 -5.260797e-01 -2.180964e-01 2.002918e+00 -6.549482e-01 5.235829e-01 1.348887e-01 5.966723e-01 -7.333051e+00 7.733486e+00 -6.305173e-02 8.866652e-01 -8.984314e+00 1.044731e+01 -8.766984e+00 3.819725e+01 1.063189e+01 -1.469173e+01 3.650848e+00 5.691316e+00 -1.698052e+01 -2.289297e+01 7.227373e+00 8.921976e-01 2.901292e-01 2.645172e-02 2.534670e-01 2.028774e-01 8.706432e-02 4.252874e-01 9.918867e-01 -6.491979e-01 8.494032e-01 1.734106e+00 -1.842179e-01 2.040456e+00 -6.445488e-01 -3.463373e+00 5.299366e-01 -1.364064e+00 1.857594e+00 2.751595e+01 3.771826e+00 1.655978e-01 1.285942e+00 1.072719e+00 1.513111e+00 -4.532051e+00 1.296118e+00 1.935281e+00 1.711265e+00 1.309835e+00 -1.085922e+00 1.204569e+00 9.818846e-02 1.713902e+00 -1.589502e+01 6.878957e-02 5.058661e-01 1.791559e+01 6.156331e+00 
3 61 0 0 0 2.311631e+00 3.484208e-01 -3.724588e-01 -4.813189e-01 2.094941e+00 -2.030584e+00 2.396022e+00 -1.126841e+00 3.675161e+00 7.749650e-01 3.400927e-01 6.933676e-01 5.254463e-01 2.976491e+00 9.146662e-01 1.128740e+00 7.223418e-01 1.295178e+00 2.485174e+00 9.119348e-01 8.179519e-01 4.342438e-01 9.083517e-01 2.992928e-01 -3.510369e-01 2.358022e+00 9.850516e-01 8.865134e-01 1.320487e+00 4.673050e-01 -5.474866e-01 -1.976428e-01 2.031781e+00 -6.549311e-01 5.106575e-01 1.178811e-01 6.322995e-01 -7.286167e+00 7.523257e+00 -8.012453e-02 6.728410e-01 -8.833492e+00 1.027688e+01 -8.438145e+00 3.773301e+01 1.067185e+01 -1.467431e+01 3.695485e+00 6.058583e+00 -1.713401e+01 -2.333256e+01 8.085920e+00 9.077929e-01 3.010569e-01 3.166749e-02 2.397184e-01 1.552497e-01 1.063205e-01 4.007061e-01 1.021430e+00 -6.698460e-01 8.807825e-01 1.764550e+00 -1.613658e-01 2.045692e+00 -6.506924e-01 -3.468098e+00 5.643892e-01 -1.384749e+00 1.815997e+00 2.756431e+01 3.903328e+00 1.792488e-01 1.286274e+00 1.069426e+00 1.308781e+00 -4.615897e+00 1.303642e+00 1.940503e+00 1.683139e+00 1.302059e+00 -1.099121e+00 1.209216e+00 1.240180e-01 1.928301e+00 -1.661160e+01 3.726472e-02 5.242565e-01 1.821837e+01 6.097479e+00 
4 81 0 0 0 2.704326e+00 3.538071e-01 -3.498285e-01 -4.896489e-01 2.048389e+00 -1.719187e+00 2.433655e+00 -9.486773e-01 3.807106e+00 6.014915e-01 3.730126e-01 6.368900e-01 3.519709e-01 2.890178e+00 9.578707e-01 1.143568e+00 7.358589e-01 1.256983e+00 2.507064e+00 9.041936e-01 8.573906e-01 4.517260e-01 8.609779e-01 3.061838e-01 -3.750762e-01 2.310934e+00 9.968811e-01 9.093663e-01 1.300640e+00 4.703335e-01 -5.654347e-01 -1.859263e-01 2.033021e+00 -6.663240e-01 5.402122e-01 1.190911e-01 5.421991e-01 -7.255694e+00 7.427341e+00 -1.021970e-01 8.240608e-01 -8.635690e+00 1.047015e+01 -8.233940e+00 3.766604e+01 1.074078e+01 -1.461730e+01 3.424218e+00 5.731859e+00 -1.763234e+01 -2.340574e+01 8.932457e+00 9.318408e-01 3.163809e-01 -5.665783e-03 2.591009e-01 1.510522e-01 6.608573e-02 3.838355e-01 1.013414e+00 -6.412787e-01 8.731537e-01 1.771025e+00 -1.427260e-01 2.032031e+00 -7.116168e-01 -3.468045e+00 5.677204e-01 -1.389492e+00 1.800589e+00 2.766440e+01 3.768079e+00 1.848490e-01 1.253274e+00 1.063761e+00 1.501573e+00 -4.533542e+00 1.269841e+00 1.950894e+00 1.707493e+00 1.306534e+00 -1.102065e+00 1.236807e+00 1.577047e-01 1.745811e+00 -1.723520e+01 7.090027e-02 5.005557e-01 1.819219e+01 6.064920e+00 
5 101 0 0 0 2.763220e+00 3.250347e-01 -3.552373e-01 -4.839950e-01 2.049274e+00 -1.834174e+00 2.403497e+00 -8.940597e-01 3.705828e+00 7.298402e-01 5.370537e-01 4.981921e-01 3.528875e-01 2.870525e+00 9.435107e-01 1.146663e+00 7.313641e-01 1.225012e+00 2.517742e+00 8.906921e-01 8.253131e-01 4.747184e-01 8.525244e-01 3.133450e-01 -3.702251e-01 2.341550e+00 9.848074e-01 9.538718e-01 1.312894e+00 4.877363e-01 -5.621099e-01 -1.480658e-01 2.017753e+00 -6.596238e-01 5.325027e-01 9.071775e-02 3.336185e-01 -7.605250e+00 7.623926e+00 -1.224663e-01 9.128471e-01 -8.701413e+00 1.072643e+01 -8.357956e+00 3.680375e+01 1.073137e+01 -1.439439e+01 4.111618e+00 6.215348e+00 -1.659716e+01 -2.337647e+01 9.015989e+00 9.104002e-01 3.086437e-01 -1.231149e-04 2.691470e-01 1.110789e-01 1.554479e-02 3.261056e-01 9.994772e-01 -6.003697e-01 8.724575e-01 1.825117e+00 -1.632691e-01 2.013265e+00 -6.567869e-01 -3.467725e+00 5.479908e-01 -1.407843e+00 1.827619e+00 2.799357e+01 3.778949e+00 1.820395e-01 1.230096e+00 1.118052e+00 1.715710e+00 -4.496764e+00 1.289160e+00 1.909482e+00 1.715768e+00 1.315688e+00 -1.064924e+00 1.227198e+00 2.071171e-01 1.504899e+00 -1.722462e+01 1.067738e-01 4.860766e-01 1.840529e+01 6.231710e+00 
6 121 0 0 0 2.994305e+00 3.482093e-01 -3.939921e-01 -4.520590e-01 2.091315e+00 -1.660361e+00 2.623772e+00 -9.576860e-01 3.700348e+00 6.968717e-01 8.497897e-01 6.078001e-01 5.508915e-01 2.773435e+00 9.226280e-01 1.193635e+00 7.369358e-01 1.271230e+00 2.495903e+00 9.203241e-01 8.305043e-01 5.071074e-01 8.512227e-01 3.098666e-01 -3.850903e-01 2.344202e+00 9.968467e-01 9.915909e-01 1.243918e+00 4.817497e-01 -6.396300e-01 -1.232295e-01 2.023645e+00 -6.748405e-01 5.302919e-01 1.033111e-01 4.450405e-01 -7.485241e+00 7.565457e+00 -1.126071e-01 9.561436e-01 -8.644249e+00 1.082056e+01 -7.551565e+00 3.715247e+01 1.052028e+01 -1.485987e+01 4.455311e+00 6.142955e+00 -1.637735e+01 -2.381314e+01 8.474382e+00 8.640138e-01 3.152719e-01 1.256757e-03 2.781644e-01 1.129303e-01 2.032447e-02 3.207772e-01 9.971279e-01 -5.595519e-01 8.870135e-01 1.830841e+00 -1.549525e-01 2.067959e+00 -6.493781e-01 -3.452301e+00 5.917024e-01 -1.399540e+00 1.831690e+00 2.806684e+01 3.234468e+00 1.557844e-01 1.203993e+00 1.134216e+00 1.535094e+00 -4.472371e+00 1.294938e+00 1.939441e+00 1.692594e+00 1.341296e+00 -1.057439e+00 1.211016e+00 2.161544e-01 1.259465e+00 -1.709575e+01 1.188266e-01 4.590589e-01 1.908149e+01 6.103464e+00 
7 141 0 0 0 4.008981e+00 3.484104e-01 -3.946794e-01 -4.807594e-01 2.079394e+00 -1.663922e+00 2.748190e+00 -8.936182e-01 3.730398e+00 5.733106e-01 8.262907e-01 3.857676e-01 5.713419e-01 2.803297e+00 9.111032e-01 1.195802e+00 7.433068e-01 1.253089e+00 2.513760e+00 9.369793e-01 8.012734e-01 5.504855e-01 8.950525e-01 3.179169e-01 -3.841953e-01 2.325421e+00 9.936449e-01 1.030154e+00 1.236329e+00 4.806086e-01 -6.415757e-01 -1.084544e-01 1.994926e+00 -6.584417e-01 5.247351e-01 9.136945e-02 4.303720e-01 -7.570093e+00 7.398237e+00 -1.345953e-01 6.966493e-01 -8.644444e+00 1.084189e+01 -7.343895e+00 3.677794e+01 1.017929e+01 -1.508557e+01 3.968729e+00 5.500779e+00 -1.640410e+01 -2.371255e+01 8.149339e+00 8.557943e-01 2.839879e-01 -3.421980e-02 2.328865e-01 1.519832e-01 2.235871e-02 2.787480e-01 1.049548e+00 -6.110270e-01 9.215499e-01 1.759631e+00 -1.824872e-01 2.041648e+00 -6.406463e-01 -3.448852e+00 5.772495e-01 -1.375865e+00 1.840183e+00 2.828391e+01 3.462913e+00 1.144923e-01 1.221718e+00 1.093507e+00 1.370487e+00 -4.836607e+00 1.271300e+00 1.929532e+00 1.672838e+00 1.393114e+00 -1.057152e+00 1.202504e+00 2.038296e-01 1.104343e+00 -1.749497e+01 1.657820e-01 4.816626e-01 1.948455e+01 5.939546e+00 
8 161 0 0 0 4.323993e+00 3.738545e-01 -3.593006e-01 -5.161893e-01 2.074473e+00 -1.737008e+00 2.755923e+00 -1.073098e+00 3.812964e+00 6.236156e-01 9.105241e-01 4.708455e-01 6.588528e-01 2.746310e+00 8.618858e-01 1.188675e+00 6.905343e-01 1.227163e+00 2.488133e+00 9.112935e-01 7.971129e-01 5.422721e-01 8.781977e-01 3.428167e-01 -3.833340e-01 2.294225e+00 9.733516e-01 1.053854e+00 1.246765e+00 5.126211e-01 -6.368777e-01 -1.488219e-01 1.983267e+00 -6.275926e-01 5.381975e-01 1.139157e-01 5.661365e-01 -7.849880e+00 7.500206e+00 -1.600177e-01 3.892604e-01 -8.407817e+00 1.073473e+01 -7.298085e+00 3.710420e+01 1.042054e+01 -1.496652e+01 3.124754e+00 4.883751e+00 -1.631007e+01 -2.380095e+01 9.022383e+00 8.653777e-01 2.693871e-01 1.911613e-03 2.605774e-01 1.672360e-01 1.877588e-02 3.101504e-01 1.059679e+00 -5.737697e-01 9.067657e-01 1.750372e+00 -1.774308e-01 2.024281e+00 -6.404688e-01 -3.493458e+00 6.022096e-01 -1.402780e+00 1.880988e+00 2.852342e+01 3.531335e+00 7.988502e-02 1.169639e+00 1.144807e+00 1.303076e+00 -5.096155e+00 1.261371e+00 1.935035e+00 1.645594e+00 1.399825e+00 -1.058230e+00 1.236865e+00 2.098180e-01 1.616168e+00 -1.801930e+01 1.674838e-01 4.586630e-01 1.950620e+01 5.824885e+00 
9 181 0 0 0 3.924180e+00 3.101721e-01 -3.001824e-01 -4.834712e-01 2.060239e+00 -1.644968e+00 2.593535e+00 -1.233833e+00 3.677432e+00 8.217460e-01 1.012177e+00 5.653865e-01 5.234665e-01 2.774830e+00 8.174890e-01 1.178170e+00 6.852479e-01 1.233868e+00 2.454913e+00 9.407755e-01 8.286084e-01 5.108940e-01 9.071630e-01 3.422357e-01 -4.208273e-01 2.269656e+00 9.852963e-01 1.079538e+00 1.259732e+00 4.988289e-01 -6.761057e-01 -1.398394e-01 1.991133e+00 -6.616106e-01 5.272585e-01 1.167416e-01 4.376910e-01 -8.207309e+00 7.606983e+00 -1.712525e-01 2.174921e-01 -8.451201e+00 1.076565e+01 -7.481342e+00 3.685189e+01 1.041481e+01 -1.487019e+01 3.415860e+00 4.203841e+00 -1.683333e+01 -2.368730e+01 8.901986e+00 8.881331e-01 2.728625e-01 3.014368e-02 2.868894e-01 1.635984e-01 1.394713e-02 3.357728e-01 1.078346e+00 -5.949496e-01 8.804535e-01 1.733916e+00 -1.653981e-01 2.016079e+00 -6.293889e-01 -3.510032e+00 6.273009e-01 -1.350965e+00 1.901834e+00 2.860471e+01 3.490608e+00 1.040498e-01 1.166748e+00 1.132968e+00 1.225519e+00 -4.981711e+00 1.265645e+00 1.967385e+00 1.675567e+00 1.394833e+00 -1.043798e+00 1.213872e+00 2.112109e-01 1.565261e+00 -1.812035e+01 1.603151e-01 4.461412e-01 1.931349e+01 5.469118e+00 
