%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=208644, 2017/07/23 0:14:25.45)
1 21  9.972390762401471875e+03 0 0 5.395181e+00 9.831715e-01 -4.599006e-02 2.395947e-01 1.050180e+00 1.108723e+00 1.558003e+00 1.138538e+00 -7.322482e-01 2.888857e+00 -9.936536e-01 2.659722e+00 2.595481e+00 -6.285235e-02 8.060752e-01 2.042115e+00 9.350734e-01 9.809758e-02 1.091861e+00 -1.687230e-01 9.105597e-01 8.552061e-01 1.321502e+00 2.868114e-01 3.650813e-01 1.023877e+00 1.407074e+00 1.146003e+00 7.274058e-01 4.513394e-01 -1.911408e-01 6.418947e-01 2.568343e-01 -1.849698e-01 1.691876e+00 9.455571e-02 -1.724683e-01 1.151062e+00 3.051767e-01 -8.283415e-02 -5.110268e-01 2.551179e-01 2.275769e-01 3.845626e+00 3.025561e+00 3.331463e+00 1.387005e+00 1.088325e+00 1.233846e+00 1.513154e+00 2.862075e-01 6.050932e-02 -2.128174e-01 2.287716e-01 4.289413e-01 -5.232031e-01 5.901299e-01 7.306436e-01 -2.290464e-02 7.604676e-01 2.095813e-01 4.590671e-02 1.608715e+00 -2.395392e-01 3.951144e-01 -2.788614e-01 -4.134274e+00 2.106353e-01 2.906130e-01 9.048720e-01 2.007748e+01 3.239091e+00 3.427321e-01 1.347380e+00 2.132111e+00 6.827458e-01 4.380026e-02 1.131659e+00 1.781465e+00 1.549384e+00 6.509005e-01 5.095495e-01 1.406099e+00 -1.995856e-01 9.418989e-01 8.134664e+00 4.203330e-01 1.303372e+00 2.804124e+00 -2.899853e+00 
2 41  3.241239027470887546e+00 0 0 4.855560e+00 9.682135e-01 -1.333233e-01 2.101187e-01 1.071353e+00 1.515952e+00 1.685531e+00 1.944272e+00 -5.459012e-02 3.388172e+00 -1.741185e+00 2.696874e+00 2.198130e+00 3.695472e-01 8.372997e-01 2.062275e+00 8.818162e-01 2.236399e-02 1.014576e+00 -3.136048e-01 8.721564e-01 8.653526e-01 1.402133e+00 1.737903e-01 4.038107e-01 1.053090e+00 1.447723e+00 1.249853e+00 7.685393e-01 4.313774e-01 -2.287120e-01 6.316306e-01 2.088899e-01 -1.441352e-01 1.603856e+00 9.818001e-02 5.346005e-01 6.119227e-01 -1.365397e-01 -9.961595e-02 -8.534306e-02 5.151971e-01 -6.925378e-01 5.645029e+00 4.226414e+00 2.923565e+00 1.227885e+00 1.113395e+00 1.903908e+00 3.124834e-01 7.331855e-01 -1.915960e-01 -1.758568e-01 1.947122e-01 4.125375e-01 -5.827916e-01 5.376071e-01 7.819516e-01 -6.055074e-02 6.788219e-01 2.017270e-01 8.407027e-02 1.513466e+00 -1.139452e-01 3.329414e-01 -2.746901e-01 -4.058020e+00 1.647060e-01 2.919293e-01 9.101998e-01 2.000581e+01 3.409456e+00 3.088876e-01 1.244374e+00 2.083743e+00 8.362407e-01 -6.293765e-01 1.081547e+00 1.721785e+00 1.533118e+00 6.556134e-01 4.609463e-01 1.465828e+00 -2.667497e-01 3.716939e-01 5.609055e+00 4.035006e-01 1.305350e+00 2.040917e+00 -1.967596e+00 
3 61  9.974458778698794049e+03 0 0 4.771862e+00 9.790131e-01 -9.379200e-02 2.355767e-01 1.058209e+00 1.622001e+00 1.242893e+00 1.481804e+00 -9.274126e-03 2.901826e+00 -1.104381e+00 2.483569e+00 2.342603e+00 7.143806e-01 8.146695e-01 2.018250e+00 8.832073e-01 1.795672e-02 1.093452e+00 -2.174487e-01 8.970149e-01 8.226051e-01 1.346362e+00 2.521060e-01 3.264884e-01 1.046609e+00 1.513188e+00 1.251656e+00 7.986131e-01 4.259790e-01 -2.305535e-01 6.228198e-01 2.458166e-01 -9.924029e-02 1.749096e+00 9.517846e-02 6.987441e-01 1.164139e-01 -7.203587e-03 -1.054451e-01 -2.235583e-01 -9.702387e-02 -6.277980e-01 4.427772e+00 3.863738e+00 2.824047e+00 2.207147e+00 1.839440e+00 -4.578997e-02 9.548526e-01 1.366160e+00 -5.250232e-01 -2.147928e-01 2.933498e-01 4.289062e-01 -5.758412e-01 6.308968e-01 7.410003e-01 -2.244642e-02 6.006957e-01 2.378807e-01 5.616206e-02 1.565359e+00 -1.456872e-01 3.688286e-01 -2.648292e-01 -4.059856e+00 2.431483e-01 3.428175e-01 8.774474e-01 1.966384e+01 3.723806e+00 3.579814e-01 1.231663e+00 2.081852e+00 8.528129e-01 -2.293196e-01 1.089000e+00 1.802344e+00 1.563546e+00 7.252601e-01 4.828464e-01 1.471896e+00 -1.756060e-01 9.927488e-01 6.799897e+00 3.887518e-01 1.276164e+00 2.742063e+00 -1.956826e+00 
4 81  9.979330532707695966e+03 0 0 3.137067e+00 1.004277e+00 -6.741339e-02 2.285301e-01 1.011164e+00 1.728699e+00 1.710714e+00 1.260188e+00 -7.929097e-01 3.475653e+00 -1.481104e+00 2.631242e+00 2.163859e+00 6.207735e-01 8.240103e-01 2.093744e+00 8.640843e-01 3.223096e-02 1.042582e+00 -2.129530e-01 9.623040e-01 8.460393e-01 1.393440e+00 1.839011e-01 3.629463e-01 1.087468e+00 1.518517e+00 1.155896e+00 7.677005e-01 3.648109e-01 -2.061609e-01 6.384436e-01 1.819693e-01 -1.125291e-01 1.743804e+00 1.107773e-01 -7.734048e-02 4.720386e-01 1.275478e-02 -8.588712e-02 1.136309e+00 -1.914567e-01 -6.101268e-01 5.847836e+00 4.671693e+00 5.728121e-01 1.712505e+00 2.403203e+00 1.459305e+00 4.569491e-01 1.349604e+00 1.018177e+00 -2.194930e-01 3.391408e-01 3.654827e-01 -5.246262e-01 6.238546e-01 7.108759e-01 -4.556758e-02 6.459507e-01 1.575102e-01 5.379044e-02 1.636288e+00 -1.684249e-01 3.443521e-01 -1.884862e-01 -4.046856e+00 2.900566e-01 4.629355e-01 9.586966e-01 1.969043e+01 3.703839e+00 4.071662e-01 1.232359e+00 2.162307e+00 7.901398e-01 1.531286e-02 1.153741e+00 1.842125e+00 1.480800e+00 6.452778e-01 4.640288e-01 1.415029e+00 -2.659474e-01 1.143177e+00 7.190473e+00 4.514282e-01 1.254299e+00 2.261838e+00 -1.908507e+00 
5 101  9.974173447803999807e+03 0 0 4.005510e+00 9.955622e-01 -3.356486e-02 2.803437e-01 1.066087e+00 2.121772e+00 1.174201e+00 1.729297e+00 -6.382410e-01 3.286046e+00 -1.136271e+00 2.593577e+00 2.345604e+00 7.895058e-01 8.362605e-01 2.135481e+00 9.139962e-01 6.403072e-02 1.087979e+00 -2.345602e-01 8.617788e-01 8.333572e-01 1.421667e+00 2.453639e-01 2.713813e-01 1.144206e+00 1.501632e+00 1.190639e+00 6.824554e-01 4.644226e-01 -2.757554e-01 5.736529e-01 2.715569e-01 -2.063223e-01 1.757791e+00 9.841136e-02 -2.096110e-01 9.542922e-01 -2.657204e-01 -8.314971e-02 -1.063752e-01 -7.999786e-01 1.219227e-01 5.112830e+00 4.986575e+00 1.434418e+00 1.117477e+00 2.632832e+00 6.805513e-01 9.661711e-01 1.021633e+00 3.854493e-01 -2.755153e-01 3.023351e-01 3.662539e-01 -5.450966e-01 7.167080e-01 6.884689e-01 6.806622e-04 6.423938e-01 2.186842e-01 2.740274e-02 1.529909e+00 -6.873368e-02 3.590883e-01 -2.611004e-01 -3.922547e+00 2.736844e-01 3.774576e-01 9.232782e-01 1.991122e+01 3.849565e+00 3.578072e-01 1.277695e+00 2.126279e+00 7.275487e-01 -7.167247e-01 1.128403e+00 1.801552e+00 1.536296e+00 6.554913e-01 4.733376e-01 1.505335e+00 -1.464409e-01 1.698441e+00 7.078885e+00 4.285941e-01 1.322281e+00 2.710165e+00 -1.711892e+00 
6 121  2.012126355270792146e+03 0 0 4.426297e+00 1.105652e+00 2.122664e-02 1.730404e-01 9.691708e-01 1.712905e+00 7.035529e-01 1.401996e+00 -7.176184e-01 3.015816e+00 -1.261127e+00 2.456173e+00 2.274889e+00 9.756569e-01 8.464584e-01 2.078335e+00 9.424731e-01 -5.109292e-03 1.020297e+00 -2.543755e-01 8.825255e-01 7.971750e-01 1.374958e+00 2.948065e-01 3.090629e-01 1.121038e+00 1.434623e+00 1.220288e+00 6.403808e-01 4.064555e-01 -2.686943e-01 5.928412e-01 2.937347e-01 -2.048899e-01 1.769587e+00 8.871876e-02 6.550409e-01 6.391184e-01 -3.418756e-01 -9.314084e-02 -3.372499e-01 -4.339261e-01 8.996496e-02 4.925209e+00 3.972885e+00 2.811623e+00 6.607669e-01 1.430962e+00 1.290761e+00 1.948754e-01 2.478365e+00 3.208943e-01 -2.464360e-01 2.769631e-01 4.098223e-01 -5.108104e-01 6.987960e-01 7.195099e-01 -5.102645e-02 6.769854e-01 2.298537e-01 5.694458e-02 1.575828e+00 -6.191341e-02 4.167026e-01 -2.219929e-01 -3.992921e+00 2.271396e-01 4.271606e-01 9.629135e-01 1.993489e+01 3.719397e+00 4.049031e-01 1.149481e+00 2.065064e+00 3.418454e-01 -3.937092e-01 1.082573e+00 1.800379e+00 1.489257e+00 7.601584e-01 5.004789e-01 1.484837e+00 -1.785370e-01 1.854514e+00 6.793041e+00 4.066527e-01 1.338043e+00 2.787658e+00 -1.431135e+00 
7 141  9.960810159491713421e+03 0 0 2.910609e+00 1.005703e+00 -7.174527e-02 2.186565e-01 9.926798e-01 1.866918e+00 1.429856e+00 1.267554e+00 -3.260410e-01 3.148762e+00 -1.507824e+00 2.590988e+00 2.308500e+00 1.411258e+00 7.988271e-01 2.133391e+00 8.607445e-01 -5.577009e-02 1.038941e+00 -2.674152e-01 8.913205e-01 8.040371e-01 1.349092e+00 2.995633e-01 2.830942e-01 1.086119e+00 1.534345e+00 1.126126e+00 7.135085e-01 4.662572e-01 -1.926890e-01 6.065780e-01 2.932028e-01 -1.632549e-01 1.823714e+00 9.137609e-02 4.185444e-02 -4.822709e-01 -1.810269e-01 -9.567702e-02 -3.727240e-01 -8.110131e-02 -9.958782e-02 5.193782e+00 4.701433e+00 1.613423e+00 1.371286e+00 3.884259e+00 1.473629e+00 1.245960e+00 8.444894e-01 4.049579e-01 -2.553078e-01 3.106867e-01 4.199176e-01 -5.095143e-01 7.292580e-01 7.563773e-01 -4.668077e-03 5.690972e-01 2.271966e-01 7.011733e-02 1.578663e+00 -1.080590e-01 4.091378e-01 -1.976802e-01 -4.043961e+00 2.438155e-01 4.419577e-01 9.613092e-01 2.080048e+01 3.291965e+00 3.869377e-01 1.129618e+00 2.070547e+00 4.625631e-01 -6.654899e-01 1.137270e+00 1.797015e+00 1.545721e+00 7.361327e-01 4.558246e-01 1.499791e+00 -2.055467e-01 5.346362e-01 7.658782e+00 4.726511e-01 1.265580e+00 2.638979e+00 -2.082754e+00 
8 161  9.975962629372517767e+03 0 0 2.476827e+00 1.001059e+00 -7.584656e-02 2.473213e-01 9.947915e-01 1.988535e+00 1.775102e+00 1.360944e+00 -8.124310e-01 3.204977e+00 -1.308580e+00 2.373756e+00 2.367680e+00 9.373248e-01 8.404049e-01 2.133156e+00 9.080701e-01 5.051667e-02 1.063183e+00 -2.349350e-01 9.111940e-01 8.164444e-01 1.368524e+00 2.010048e-01 2.539312e-01 1.072402e+00 1.466873e+00 1.169521e+00 6.846802e-01 4.719131e-01 -2.356680e-01 6.029616e-01 3.224706e-01 -1.716046e-01 1.773467e+00 8.716223e-02 -3.031817e-01 4.137071e-01 4.933904e-01 -1.040967e-01 -4.306721e-01 7.350791e-01 1.003742e+00 5.612901e+00 4.312179e+00 2.423012e+00 1.810050e+00 3.581349e+00 9.530309e-01 -4.110573e-01 7.246307e-01 1.456701e+00 -2.020087e-01 2.884340e-01 4.394477e-01 -4.585787e-01 7.327284e-01 7.559778e-01 -1.116383e-02 6.047257e-01 1.992052e-01 4.286263e-03 1.590368e+00 -1.132545e-01 4.097716e-01 -2.348474e-01 -4.020419e+00 3.067885e-01 4.013746e-01 9.628684e-01 1.975880e+01 4.195238e+00 3.533077e-01 1.280439e+00 2.099282e+00 6.462433e-01 -8.061520e-01 1.130912e+00 1.724664e+00 1.535351e+00 6.442154e-01 4.844361e-01 1.444186e+00 -2.362806e-01 1.490450e+00 7.218832e+00 4.944278e-01 1.294409e+00 2.979983e+00 -1.834022e+00 
9 181  3.817612996191233066e+00 0 0 3.656546e+00 9.655128e-01 -2.317094e-02 2.208246e-01 1.012743e+00 1.685881e+00 1.707468e+00 9.809597e-01 -8.785032e-01 3.096509e+00 -1.217080e+00 2.632460e+00 1.960106e+00 1.378404e+00 7.789427e-01 2.051292e+00 9.258451e-01 3.887863e-02 1.010000e+00 -2.359785e-01 9.150674e-01 8.282234e-01 1.424611e+00 2.149897e-01 2.827817e-01 1.155921e+00 1.418426e+00 1.156766e+00 6.485136e-01 4.012260e-01 -2.074712e-01 5.196187e-01 3.589964e-01 -1.854550e-01 1.733997e+00 9.166085e-02 4.597695e-02 -5.391856e-02 5.853078e-01 -1.023061e-01 2.864981e-02 1.564263e-01 -6.691246e-02 6.111597e+00 4.989494e+00 2.038586e+00 8.409967e-01 3.692241e+00 3.604548e-01 9.463260e-01 1.265099e+00 -3.367501e-03 -2.047856e-01 2.792906e-01 3.962984e-01 -4.832280e-01 7.460478e-01 7.713309e-01 3.704794e-02 6.310426e-01 2.732642e-01 3.339629e-02 1.578082e+00 -8.053931e-02 3.670672e-01 -1.776084e-01 -4.029429e+00 3.031398e-01 3.885555e-01 9.165295e-01 1.956238e+01 3.944661e+00 3.666777e-01 1.199815e+00 2.142385e+00 1.224104e-01 -2.635432e-01 1.134319e+00 1.697134e+00 1.514344e+00 7.087839e-01 4.597295e-01 1.495909e+00 -2.001514e-01 1.280838e+00 7.045426e+00 4.659345e-01 1.313369e+00 2.676235e+00 -1.700380e+00 
10 201  9.973896013811490775e+03 0 0 4.334203e+00 9.675405e-01 -6.057733e-02 2.289078e-01 1.012128e+00 1.823940e+00 1.883945e+00 1.355793e+00 -1.237333e+00 3.361632e+00 -1.680624e+00 2.265382e+00 2.013652e+00 8.314540e-01 8.308969e-01 2.157395e+00 8.741713e-01 1.660504e-02 9.579305e-01 -2.524249e-01 9.058354e-01 8.222891e-01 1.325934e+00 2.341726e-01 3.212246e-01 1.103584e+00 1.449096e+00 1.100349e+00 6.185019e-01 4.471277e-01 -2.288925e-01 5.501771e-01 3.284747e-01 -1.986124e-01 1.727793e+00 1.004470e-01 -2.129701e-01 -1.472282e-01 6.421310e-01 -9.662491e-02 1.139689e-01 3.163999e-01 3.315875e-01 5.112083e+00 3.936264e+00 2.764319e+00 1.673918e+00 4.930490e+00 8.455131e-01 4.143194e-01 1.249597e+00 7.620280e-01 -2.262150e-01 2.959591e-01 3.418746e-01 -3.763052e-01 6.988295e-01 7.791748e-01 -4.532359e-02 6.468351e-01 2.204336e-01 1.064543e-01 1.522974e+00 -1.051173e-01 4.224201e-01 -2.275285e-01 -4.032620e+00 2.625510e-01 4.099990e-01 9.766618e-01 1.993338e+01 4.547814e+00 3.812307e-01 1.244814e+00 2.097231e+00 1.932702e-01 -3.145135e-01 1.150556e+00 1.780097e+00 1.524728e+00 7.337123e-01 3.582386e-01 1.423537e+00 -1.698641e-01 7.808981e-01 6.854792e+00 4.563809e-01 1.277401e+00 2.376812e+00 -2.163270e+00 
