%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=213729, 2017/10/2 18:31:59.30)
1 21 1.882989e-01 1.041183e+00  1.997424788483859857e+03  1.000262818543892536e+04  1.000290612367734866e+04  1.000483105483064173e+04
2 41 1.817881e-01 1.053624e+00  1.997424788483859857e+03  1.000250452981666967e+04  1.000308629950826071e+04  1.000473143879396775e+04
3 61 1.796317e-01 1.079131e+00  1.997424788483859857e+03  1.000256138436235960e+04  1.000298770687282013e+04  1.000428379289259829e+04
4 81 1.763678e-01 1.095945e+00  1.997424788483859857e+03  1.998606440111333313e+03  1.000277683763667665e+04  1.000363842050526364e+04
5 101 1.723501e-01 1.115306e+00  1.997424788483859857e+03  1.998496245232408910e+03  1.000252448971538979e+04  1.000313581704301578e+04
6 121 1.712703e-01 1.140232e+00  1.997424788483859857e+03  1.998535621361100084e+03  1.000264389280508476e+04  1.000424071264696067e+04
7 141 1.641377e-01 1.152706e+00  1.997424788483859857e+03  1.998606272405658046e+03  1.000260892861697721e+04  1.000308153449097517e+04
8 161 1.605136e-01 1.176156e+00  1.997424788483859857e+03  1.998551572761432226e+03  1.000260993610185687e+04  1.000315047604838401e+04
9 181 1.507133e-01 1.189128e+00  1.997424788483859857e+03  1.998491483310813010e+03  1.998647365824948110e+03  1.000273518466606583e+04
10 201 1.456461e-01 1.209450e+00  1.997424788483859857e+03  1.998413033069518406e+03  6.000596033170570081e+03  1.000307895848237240e+04
11 221 1.451169e-01 1.222883e+00  1.997424788483859857e+03  1.998348494425712261e+03  1.000255652466952961e+04  1.000288103800779754e+04
12 241 1.470340e-01 1.236456e+00  1.997424788483859857e+03  1.998211059464508935e+03  1.998623370770159454e+03  1.000320068481472845e+04
13 261 1.472288e-01 1.249845e+00  1.997424788483859857e+03  1.998103812820020266e+03  6.000601870000960844e+03  1.000334042450304150e+04
14 281 1.437042e-01 1.269587e+00  1.997424788483859857e+03  1.998205909322634398e+03  1.000254360923068452e+04  1.000373229335872747e+04
15 301 1.447963e-01 1.276360e+00  1.997424788483859857e+03  1.998156149328832498e+03  6.000535225892663220e+03  1.000310161427708954e+04
16 321 1.442003e-01 1.287646e+00  1.997424788483859857e+03  1.998183670028719234e+03  1.000252307529318932e+04  1.000276583603358813e+04
17 341 1.475461e-01 1.291881e+00  1.997424788483859857e+03  1.998166711052958590e+03  1.000258339432900902e+04  1.000343722279530630e+04
18 361 1.472805e-01 1.306435e+00  1.997424788483859857e+03  1.998217577378219858e+03  1.000261581837661652e+04  1.000312416431972088e+04
19 381 1.470258e-01 1.317978e+00  1.997424788483859857e+03  1.998433299904987052e+03  1.000261125254326544e+04  1.000299800051673265e+04
20 401 1.408361e-01 1.328649e+00  1.997424788483859857e+03  1.998120634977393820e+03  1.000260669788882660e+04  1.000337765859833235e+04
21 421 1.375987e-01 1.332922e+00  1.997424788483859857e+03  1.998409113513447892e+03  1.000255119811510485e+04  1.000322898826656092e+04
22 441 1.357143e-01 1.336758e+00  1.997424788483859857e+03  1.998399269438026977e+03  1.000251977299366081e+04  1.000290947375357064e+04
23 461 1.317460e-01 1.338886e+00  1.997424788483859857e+03  1.998285751041281401e+03  6.000544357637960275e+03  1.000273771600665532e+04
24 481 1.298920e-01 1.347215e+00  1.997424788483859857e+03  1.998298135888883962e+03  1.998599137897476339e+03  1.000360063108139730e+04
25 501 1.263903e-01 1.353622e+00  1.997424788483859857e+03  1.998455697548291027e+03  1.000252477142693169e+04  1.000327664846293737e+04
26 521 1.193850e-01 1.363873e+00  1.997424788483859857e+03  1.998396358411216170e+03  1.998561731018732644e+03  1.000297693718212759e+04
27 541 1.155041e-01 1.368888e+00  1.997424788483859857e+03  1.998063971562254665e+03  1.998560165749603584e+03  1.000296139811176545e+04
28 561 1.146822e-01 1.382892e+00  1.997424788483859857e+03  1.997968028677340726e+03  1.998515271720299097e+03  1.000266732231024798e+04
29 581 1.159304e-01 1.401296e+00  1.997424788483859857e+03  1.997962999110605097e+03  1.998464499032551885e+03  1.000280164965038966e+04
30 601 1.140199e-01 1.407870e+00  1.997424788483859857e+03  1.998028944961065008e+03  1.000252602741286682e+04  1.000312347278776542e+04
31 621 1.115837e-01 1.412317e+00  1.997424788483859857e+03  1.997856833407313616e+03  1.998464618828260882e+03  1.000324041514881719e+04
32 641 1.103123e-01 1.416457e+00  1.997424788483859857e+03  1.997919751088008525e+03  1.998471165146404473e+03  1.000292634413032101e+04
33 661 1.081846e-01 1.422478e+00  1.997424788483859857e+03  1.997545996340661986e+03  1.000255190063617192e+04  1.000308730940300484e+04
34 681 1.094056e-01 1.430210e+00  1.995922605088929231e+03  1.995922605088929231e+03  1.000251444110231932e+04  1.000355976489598652e+04
35 701 1.123113e-01 1.435979e+00  1.995922605088929231e+03  1.997707272790606339e+03  6.000474686294815001e+03  1.000285807748199477e+04
36 721 1.110635e-01 1.445209e+00  1.995922605088929231e+03  1.996109539301187169e+03  6.000511168128734425e+03  1.000322377724347825e+04
37 741 1.120790e-01 1.457093e+00  1.995690397527336927e+03  1.995690397527336927e+03  6.000426089237610540e+03  1.000280699294948499e+04
38 761 1.104935e-01 1.465627e+00  1.995690397527336927e+03  1.995894448973506087e+03  1.000253182324281443e+04  1.000279358724858321e+04
39 781 1.097136e-01 1.467320e+00  1.995690397527336927e+03  1.995903672759436176e+03  1.000258021746087979e+04  1.000318658952953228e+04
40 801 1.052242e-01 1.469873e+00  1.995688607752505504e+03  1.995688607752505504e+03  1.000254655905502477e+04  1.000291529994213124e+04
41 821 1.006769e-01 1.474684e+00  1.995572398522192088e+03  1.995572398522192088e+03  1.000250898318806867e+04  1.000284110451421839e+04
42 841 9.893905e-02 1.478858e+00  1.995572398522192088e+03  1.995871222252855659e+03  1.998075766762874991e+03  1.000267815539832372e+04
