%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=208437, 2017/10/4 14:37:2.37)
1 21  2.121936629532313212e+00 0 0 1.281871e+00 1.558919e+01 8.423573e-02 -5.322511e+00 7.867498e-01 3.848402e-01 3.728962e+00 5.149520e+00 -2.350359e-01 -8.430829e+00 8.079855e+00 -1.987150e+00 -8.290068e-01 9.315707e+00 1.320335e+00 1.145858e+00 2.051696e+00 -3.038939e-01 7.789108e-01 6.120700e+00 -6.413329e-01 1.181866e+00 -8.439115e-01 2.682455e-02 -8.622334e-01 -3.233602e+00 1.872151e+00 
2 41  2.126174479057997502e+00 0 0 9.470846e-01 1.578636e+01 -5.686019e-02 -5.616198e+00 7.911016e-01 4.002307e-01 3.300304e+00 5.341732e+00 -7.524253e-02 -8.136091e+00 7.684428e+00 -1.619900e+00 -7.410612e-01 9.598932e+00 1.004345e+00 9.887450e-01 1.958853e+00 -2.815209e-01 7.840465e-01 6.549176e+00 -6.212187e-01 1.250688e+00 -4.926291e-01 -7.745750e-03 -6.450431e-01 -3.327197e+00 1.960162e+00 
3 61  2.197384371823785543e+00 0 0 1.141878e+00 1.577334e+01 8.063384e-02 -5.387270e+00 7.914376e-01 2.095257e-01 3.520518e+00 5.083358e+00 -1.580268e-01 -8.438637e+00 8.082725e+00 -1.677515e+00 -4.073998e-01 9.593035e+00 1.169305e+00 9.214687e-01 2.105891e+00 -4.945552e-01 7.547911e-01 6.108096e+00 -1.268520e+00 1.205463e+00 -7.889987e-01 -2.836593e-01 -8.414589e-01 -2.896973e+00 1.822762e+00 
4 81  2.129063710335472148e+00 0 0 1.202960e+00 1.555493e+01 2.676315e-02 -5.133318e+00 7.354861e-01 4.007964e-01 3.790787e+00 5.296773e+00 -1.354242e-01 -8.185086e+00 7.457787e+00 -1.762790e+00 -7.625277e-01 9.434822e+00 1.188653e+00 8.040737e-01 1.963594e+00 -6.930454e-01 7.684631e-01 6.062389e+00 -6.489372e-01 1.247649e+00 -8.362360e-01 -8.062532e-03 -6.721236e-01 -3.109736e+00 1.697895e+00 
5 101  2.131862767575916973e+00 0 0 1.282197e+00 1.541403e+01 9.191042e-02 -5.071726e+00 7.395404e-01 2.954502e-01 3.650577e+00 5.178723e+00 -1.644817e-01 -8.346352e+00 7.766755e+00 -1.866910e+00 -7.961480e-01 9.700447e+00 9.128088e-01 1.100929e+00 1.780921e+00 -6.128179e-01 6.674038e-01 6.142013e+00 -1.064216e+00 1.257463e+00 -4.583251e-01 -2.276271e-01 -8.644513e-01 -2.985896e+00 1.982587e+00 
6 121  2.162014356448876740e+00 0 0 1.297531e+00 1.558905e+01 4.074030e-01 -5.090393e+00 7.352907e-01 4.206780e-01 3.571610e+00 5.042399e+00 1.525799e-02 -8.255859e+00 7.834745e+00 -1.733035e+00 -7.380489e-01 9.758627e+00 1.206112e+00 8.289012e-01 2.070375e+00 -7.087045e-01 7.701108e-01 6.102080e+00 -7.399088e-01 1.292023e+00 -7.936151e-01 -6.118668e-02 -9.676529e-01 -3.097154e+00 1.894425e+00 
7 141  2.127538321877067595e+00 0 0 1.047280e+00 1.547032e+01 2.594976e-01 -5.306909e+00 8.034221e-01 6.449613e-01 3.595196e+00 5.074428e+00 2.928525e-02 -8.187622e+00 7.770320e+00 -1.748442e+00 -8.518717e-01 9.598604e+00 1.229881e+00 8.120617e-01 1.869900e+00 -5.919855e-01 6.824500e-01 6.231091e+00 -9.408299e-01 1.202925e+00 -5.190753e-01 3.405678e-02 -1.033401e+00 -2.938449e+00 1.851183e+00 
8 161  2.119247771041197659e+00 0 0 1.207449e+00 1.552398e+01 3.243367e-01 -5.325227e+00 8.061289e-01 2.582633e-01 3.565913e+00 5.134568e+00 -2.142274e-01 -8.233916e+00 7.556621e+00 -1.980257e+00 -7.130968e-01 9.665843e+00 8.010677e-01 9.660777e-01 1.679102e+00 -3.475416e-01 1.029218e+00 6.391223e+00 -7.739511e-01 1.325811e+00 -6.522311e-01 -1.732779e-01 -6.817127e-01 -2.982901e+00 1.686986e+00 
9 181  2.129921995027921788e+00 0 0 1.405044e+00 1.574091e+01 1.092230e-01 -5.205434e+00 7.277274e-01 2.340252e-01 3.675350e+00 5.218818e+00 4.755527e-02 -8.399121e+00 7.409054e+00 -1.798123e+00 -7.310946e-01 9.700361e+00 1.197388e+00 6.322731e-01 1.786528e+00 -5.302312e-01 6.391365e-01 6.255313e+00 -8.672402e-01 1.215047e+00 -6.412803e-01 -2.504936e-01 -6.756877e-01 -2.792644e+00 1.983597e+00 
10 201  2.160882890164412817e+00 0 0 1.322361e+00 1.558722e+01 -1.173455e-02 -5.261854e+00 7.090470e-01 5.146278e-01 3.739638e+00 5.122536e+00 -5.088369e-02 -8.445364e+00 7.642703e+00 -1.648016e+00 -6.693309e-01 9.642042e+00 1.092559e+00 1.031725e+00 1.528916e+00 -5.972628e-01 7.841964e-01 6.254328e+00 -8.248643e-01 1.232643e+00 -4.690573e-01 -1.313853e-01 -7.658916e-01 -2.976249e+00 1.777739e+00 
11 221  2.152944116058558066e+00 0 0 1.453544e+00 1.571197e+01 -2.179531e-01 -5.348821e+00 7.355887e-01 2.580919e-01 3.752131e+00 4.954577e+00 1.658685e-01 -8.243505e+00 7.405515e+00 -1.671120e+00 -8.462359e-01 9.480650e+00 1.245506e+00 9.426584e-01 1.826617e+00 -8.667569e-01 9.300683e-01 6.192713e+00 -7.377775e-01 1.284770e+00 -6.814403e-01 -2.350699e-01 -8.674730e-01 -2.976267e+00 1.779457e+00 
12 241  2.123394750436381706e+00 0 0 1.434788e+00 1.555835e+01 -8.560738e-03 -5.331819e+00 7.612893e-01 4.799610e-01 3.685119e+00 5.145177e+00 -3.210652e-02 -8.496059e+00 7.521925e+00 -1.809200e+00 -8.598502e-01 9.634031e+00 1.230720e+00 7.692811e-01 1.649976e+00 -8.476229e-01 6.608843e-01 6.192456e+00 -5.349404e-01 1.185380e+00 -6.251337e-01 -7.866272e-02 -8.343128e-01 -2.990696e+00 1.853827e+00 
13 261  2.127465730795090604e+00 0 0 1.219649e+00 1.543436e+01 6.735855e-02 -5.564513e+00 7.604211e-01 3.968261e-01 3.776516e+00 5.076950e+00 -6.162397e-02 -8.644556e+00 7.571172e+00 -1.783289e+00 -7.611546e-01 9.763677e+00 1.232659e+00 1.103195e+00 1.974255e+00 -7.995493e-01 8.429985e-01 6.149253e+00 -6.760778e-01 1.193022e+00 -6.719738e-01 -3.154569e-01 -9.660671e-01 -2.825208e+00 1.758320e+00 
14 281  2.114110102514431322e+00 0 0 1.330581e+00 1.541211e+01 1.387053e-01 -5.413767e+00 7.499910e-01 9.216847e-02 3.809487e+00 4.921693e+00 1.857329e-02 -8.319521e+00 7.750096e+00 -1.977700e+00 -7.468125e-01 9.882667e+00 1.076534e+00 7.821562e-01 1.748065e+00 -6.969594e-01 6.631817e-01 6.204433e+00 -7.419479e-01 1.276503e+00 -4.881344e-01 -4.084945e-01 -9.071197e-01 -2.934052e+00 1.955431e+00 
15 301  2.155287562661461376e+00 0 0 1.219368e+00 1.554751e+01 1.393405e-01 -5.228370e+00 8.138878e-01 -4.549411e-02 3.812195e+00 4.805591e+00 6.132637e-02 -8.408104e+00 7.902862e+00 -1.916040e+00 -9.582876e-01 9.559447e+00 1.213840e+00 9.166310e-01 1.970374e+00 -7.585585e-01 6.204145e-01 6.252420e+00 -8.928704e-01 1.249771e+00 -7.474390e-01 -4.622321e-01 -1.145104e+00 -2.976340e+00 1.856678e+00 
16 321  2.146448596121373065e+00 0 0 1.404098e+00 1.568240e+01 1.267891e-01 -5.435548e+00 7.802080e-01 1.174972e-01 4.009750e+00 5.097682e+00 2.132869e-01 -8.470934e+00 7.691072e+00 -1.893789e+00 -7.273701e-01 9.562543e+00 1.115570e+00 1.069431e+00 1.939847e+00 -7.807353e-01 4.589617e-01 6.078463e+00 -6.406116e-01 1.319177e+00 -5.190646e-01 -2.640863e-01 -1.078247e+00 -3.231330e+00 2.080706e+00 
17 341  2.132486504955718232e+00 0 0 1.352995e+00 1.552727e+01 6.754875e-02 -5.195779e+00 7.960639e-01 2.873948e-01 3.973481e+00 4.827173e+00 6.983276e-02 -8.365434e+00 7.557031e+00 -1.852737e+00 -7.564049e-01 9.627889e+00 1.296335e+00 1.041625e+00 1.797301e+00 -6.966783e-01 4.283361e-01 6.024513e+00 -6.028646e-01 1.209977e+00 -3.962566e-01 -1.345379e-01 -1.254165e+00 -3.135498e+00 2.208513e+00 
18 361  2.119635684119459462e+00 0 0 1.358222e+00 1.566932e+01 1.670177e-01 -5.359373e+00 7.719828e-01 -7.381325e-02 3.918436e+00 5.114099e+00 1.994411e-01 -8.536577e+00 7.540772e+00 -1.859960e+00 -8.766046e-01 9.665639e+00 1.105551e+00 1.050521e+00 1.937857e+00 -8.166059e-01 5.000359e-01 6.142622e+00 -4.385551e-01 1.273039e+00 -4.662958e-01 -2.954787e-01 -1.111514e+00 -3.126357e+00 2.047402e+00 
19 381  2.135133221978504636e+00 0 0 1.508918e+00 1.559355e+01 6.751230e-02 -5.121981e+00 7.617317e-01 3.337956e-01 3.874565e+00 5.006480e+00 -2.554452e-02 -8.463808e+00 7.412088e+00 -1.701476e+00 -8.553697e-01 9.494263e+00 1.256984e+00 9.268060e-01 1.754721e+00 -8.031661e-01 5.193739e-01 6.207705e+00 -3.469015e-01 1.164419e+00 -6.800475e-01 -2.153976e-02 -9.142571e-01 -2.847878e+00 2.101203e+00 
20 401  2.173243792289814902e+00 0 0 1.337413e+00 1.578162e+01 -4.561718e-02 -4.852461e+00 8.244674e-01 1.811678e-01 3.961326e+00 5.043600e+00 2.920881e-01 -8.317468e+00 7.671368e+00 -1.786389e+00 -8.491750e-01 9.761436e+00 1.435124e+00 1.034299e+00 1.588185e+00 -6.904475e-01 4.492641e-01 6.001927e+00 -4.390955e-01 1.263420e+00 -4.885656e-01 -5.474240e-02 -1.080078e+00 -3.248520e+00 1.888574e+00 
21 421  2.113183324355307313e+00 0 0 1.259122e+00 1.566638e+01 5.488646e-02 -5.015442e+00 7.674703e-01 2.912155e-01 3.767079e+00 5.097873e+00 4.933799e-02 -8.482587e+00 7.502887e+00 -1.593239e+00 -8.260685e-01 9.642509e+00 1.428561e+00 8.099455e-01 1.808801e+00 -4.096872e-01 7.382050e-01 6.218934e+00 -4.121115e-01 1.220377e+00 -6.843307e-01 -9.373512e-02 -8.803338e-01 -2.968446e+00 1.761719e+00 
22 441  2.131059721296347131e+00 0 0 1.428960e+00 1.554564e+01 -1.352002e-01 -5.042744e+00 7.801526e-01 2.392042e-01 3.889424e+00 5.006276e+00 2.960321e-01 -8.470819e+00 7.557586e+00 -1.703557e+00 -7.739416e-01 9.716298e+00 1.434978e+00 9.579568e-01 1.938711e+00 -6.891476e-01 4.376826e-01 6.225911e+00 -4.633297e-01 1.142553e+00 -5.763645e-01 -7.684616e-02 -1.086066e+00 -3.045920e+00 1.943708e+00 
23 461  2.120756813204350166e+00 0 0 1.582633e+00 1.560663e+01 -1.075802e-02 -5.155290e+00 7.550677e-01 1.621002e-01 3.800381e+00 5.217242e+00 4.598724e-02 -8.468919e+00 7.746212e+00 -1.833766e+00 -8.116085e-01 9.786847e+00 1.232721e+00 1.012463e+00 1.934446e+00 -8.065156e-01 6.055563e-01 6.135672e+00 -3.974216e-01 1.237310e+00 -5.111118e-01 -1.000394e-01 -1.207613e+00 -2.944439e+00 1.932973e+00 
24 481  2.137028203280648242e+00 0 0 1.404223e+00 1.559589e+01 -5.072455e-02 -5.274132e+00 7.709621e-01 2.256062e-01 4.151823e+00 4.991540e+00 3.085813e-02 -8.539209e+00 7.589744e+00 -1.616117e+00 -7.957270e-01 9.363684e+00 1.351804e+00 9.201584e-01 1.661355e+00 -8.395226e-01 4.348365e-01 6.097167e+00 -4.897276e-01 1.241954e+00 -6.690890e-01 -2.593875e-01 -1.145561e+00 -3.030067e+00 2.093384e+00 
25 501  2.141841000535126494e+00 0 0 1.479150e+00 1.567509e+01 2.978879e-02 -4.997587e+00 7.680749e-01 -5.920138e-04 3.999584e+00 5.244151e+00 3.108107e-01 -8.599112e+00 7.579600e+00 -1.648483e+00 -9.016316e-01 9.563836e+00 1.465119e+00 8.920668e-01 1.894457e+00 -8.538505e-01 4.857997e-01 6.089079e+00 -2.785432e-01 1.202735e+00 -5.429059e-01 -1.637749e-01 -1.062043e+00 -3.049579e+00 2.042140e+00 
26 521  2.116339407778467407e+00 0 0 1.349688e+00 1.571723e+01 7.571345e-02 -5.156196e+00 7.665800e-01 3.754755e-01 4.109314e+00 5.295071e+00 1.229234e-01 -8.542626e+00 7.636984e+00 -1.635887e+00 -7.869139e-01 9.607965e+00 1.204316e+00 9.665572e-01 1.752551e+00 -8.962462e-01 6.349724e-01 6.164663e+00 -3.628663e-01 1.210755e+00 -6.783851e-01 -2.285250e-01 -1.044079e+00 -3.329228e+00 1.751679e+00 
27 541  2.177558491993706102e+00 0 0 1.333778e+00 1.558657e+01 5.285930e-03 -5.065661e+00 8.318663e-01 1.671898e-01 3.818831e+00 5.215604e+00 1.874369e-01 -8.605131e+00 7.469234e+00 -1.595999e+00 -8.124114e-01 9.799591e+00 1.486047e+00 1.043667e+00 1.693974e+00 -8.307059e-01 4.432080e-01 6.003437e+00 -3.847618e-01 1.169602e+00 -3.710165e-01 -1.476062e-01 -1.296941e+00 -2.956744e+00 2.100896e+00 
