%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=208478, 2017/09/7 17:12:22.80)
1 21 5.353423e-02 2.240615e+01  2.643360024523308200e+00  2.643360024523308200e+00  9.824248326093543300e+02  1.000250310578199800e+04
2 41 5.189831e-02 2.243478e+01  2.643360024523308200e+00  1.045832141395247600e+02  9.820484152743677000e+02  1.000250542319608600e+04
3 61 5.069577e-02 2.244189e+01  2.643360024523308200e+00  1.030834424276804800e+02  9.814380841739853200e+02  1.000250255298468600e+04
4 81 4.962617e-02 2.245784e+01  2.643360024523308200e+00  1.030691239767053800e+02  9.802070273549179500e+02  1.000250242881442300e+04
5 101 4.861031e-02 2.246692e+01  2.643360024523308200e+00  2.755661746226142600e+00  1.117068562398612200e+02  9.925081592261273000e+02
6 121 4.779660e-02 2.247047e+01  2.643360024523308200e+00  2.758231815317935300e+00  9.814600471019420000e+02  9.882377664750224500e+02
7 141 4.715755e-02 2.248002e+01  2.643360024523308200e+00  2.889682383372580000e+00  5.510473998180474400e+02  1.000000000000000000e+04
8 161 4.657134e-02 2.248572e+01  2.643360024523308200e+00  3.068695758587525200e+00  9.819212493655667200e+02  9.934965964700791100e+02
9 181 4.598144e-02 2.248870e+01  2.643360024523308200e+00  2.857825748481400500e+00  5.616784543899832400e+02  1.000250321434395700e+04
10 201 4.579884e-02 2.249486e+01  2.643360024523308200e+00  2.846615432547001700e+00  9.821667853785029400e+02  9.842276057228416400e+02
11 221 4.564457e-02 2.249639e+01  2.643360024523308200e+00  2.857766171602657200e+00  9.820686174008153600e+02  9.874320381776075200e+02
12 241 4.546405e-02 2.250403e+01  2.643360024523308200e+00  2.714970309769148200e+00  9.796375231937941000e+02  1.000250670376446000e+04
13 261 4.545500e-02 2.251677e+01  2.643360024523308200e+00  2.821169825440279900e+00  5.472094625961792600e+02  9.935851405107928300e+02
14 281 4.548687e-02 2.251621e+01  2.643360024523308200e+00  2.817894451010165100e+00  9.803330590250442400e+02  9.943075266408484400e+02
15 301 4.545769e-02 2.252043e+01  2.643360024523308200e+00  3.121091752393882100e+00  1.219515232688764900e+02  9.900418241621276800e+02
16 321 4.521651e-02 2.253333e+01  2.643360024523308200e+00  2.788844285022309900e+00  9.809628522526429600e+02  1.000000000000000000e+04
17 341 4.497315e-02 2.253894e+01  2.643360024523308200e+00  2.920512644001744800e+00  1.135568431719818200e+02  1.000000000000000000e+04
18 361 4.474544e-02 2.255439e+01  2.643360024523308200e+00  2.791774249728891100e+00  1.083100126040146900e+02  1.000000000000000000e+04
19 381 4.461859e-02 2.256543e+01  2.643360024523308200e+00  2.861269497598344400e+00  1.084700645060787600e+02  9.918711413647821500e+02
20 401 4.449986e-02 2.257403e+01  2.643360024523308200e+00  2.806401375417085100e+00  1.044592183051111200e+02  9.903784419240063200e+02
21 421 4.440027e-02 2.257259e+01  2.643360024523308200e+00  2.745376003709572500e+00  1.091845027922345100e+02  9.900582355959144300e+02
22 441 4.446469e-02 2.257471e+01  2.643360024523308200e+00  2.657870974096264000e+00  9.806269776498500100e+02  1.000000000000000000e+04
23 461 4.447935e-02 2.258146e+01  2.643360024523308200e+00  2.817065589160578500e+00  9.818801412119755700e+02  9.941209261093764600e+02
24 481 4.448835e-02 2.259602e+01  2.643360024523308200e+00  2.835255643066299000e+00  1.084162972867935100e+02  9.926034768817027000e+02
