%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=207951, 2017/07/28 19:3:5.52)
1 21  2.314781404494348216e+00 0 0 -7.432364e-01 5.790800e-01 -6.095737e-01 -4.187652e-01 1.644046e+00 -4.541894e-01 5.591378e+00 -1.207162e+00 5.703488e+00 6.897906e-01 -1.530171e+00 -1.133891e-01 1.201289e+00 1.282052e-01 6.467138e-01 1.204270e+00 6.910949e-01 5.002960e-01 1.899602e+00 6.334204e-01 9.716175e-01 2.056602e-01 1.072100e+00 -7.024057e-01 -6.197272e-02 1.367689e+00 2.367692e+00 5.579357e-01 1.152975e+00 9.105237e-01 -8.658326e-01 2.984475e-01 1.398851e+00 -1.669182e-01 1.829606e+00 -1.071996e+01 3.467386e+01 7.830501e+00 -1.231219e+01 3.455964e+00 3.016728e+00 -3.762776e+00 -1.197699e+01 3.910243e+00 3.047717e-01 3.230622e-01 -3.720735e-02 -1.852998e-01 -1.750279e-01 6.460508e-02 3.179274e-01 6.272728e-01 2.834077e-01 3.504797e-01 1.127957e+00 -6.149317e-01 1.468683e+00 -1.166429e+00 -2.978680e+00 -2.524990e-01 -7.518763e-01 1.385606e+00 2.030629e+01 4.254139e+00 -4.410892e-01 1.809988e+00 2.086804e+00 3.066652e+00 -3.935266e+00 1.184953e+00 8.791718e-01 9.349381e-01 1.502204e+00 -8.970767e-01 1.205129e+00 -2.747289e-01 1.919183e+00 -1.453131e+01 -1.047203e+00 5.003602e-01 6.589740e+00 5.567100e+00 
2 41  2.407703328193763870e+00 0 0 4.969456e-01 6.062342e-01 -6.241369e-01 -4.973019e-01 1.637460e+00 -8.454181e-01 4.884007e+00 -1.136921e+00 5.776485e+00 7.052725e-01 -1.561559e+00 2.007353e-01 1.317499e+00 -1.799975e-01 6.755787e-01 1.195120e+00 6.133895e-01 5.874438e-01 1.924068e+00 6.029259e-01 8.969555e-01 2.660910e-01 1.147246e+00 -6.475254e-01 -1.071177e-01 1.352341e+00 2.383104e+00 5.990782e-01 1.154723e+00 9.496149e-01 -8.539350e-01 3.415813e-01 1.401181e+00 -1.837158e-01 1.925970e+00 -1.172101e+01 3.372734e+01 8.585050e+00 -1.140339e+01 2.975455e+00 3.672700e+00 -4.223450e+00 -1.297874e+01 4.299539e+00 3.431539e-01 2.729537e-01 -6.227751e-02 -1.952359e-01 -1.112215e-01 7.705354e-02 3.891006e-01 6.432303e-01 2.249462e-01 3.148459e-01 1.045764e+00 -6.099590e-01 1.365590e+00 -1.203345e+00 -3.064510e+00 -2.919668e-01 -7.655991e-01 1.450536e+00 1.982509e+01 3.928762e+00 -3.956775e-01 1.814463e+00 2.067507e+00 3.067542e+00 -4.009232e+00 1.272492e+00 9.537159e-01 9.382519e-01 1.493965e+00 -9.052614e-01 1.248591e+00 -2.551822e-01 2.163954e+00 -1.558191e+01 -1.029506e+00 5.236272e-01 6.142759e+00 6.745642e+00 
3 61  2.242362994418459543e+00 0 0 1.237910e+00 5.041006e-01 -6.255358e-01 -4.529304e-01 1.714619e+00 -9.979570e-01 5.198635e+00 -8.622722e-01 5.637373e+00 5.412264e-01 -1.771157e+00 -2.880714e-01 9.809166e-01 -5.173570e-01 6.818575e-01 1.224803e+00 6.843813e-01 5.843814e-01 1.914912e+00 5.138370e-01 1.047735e+00 1.895713e-01 1.090251e+00 -6.623056e-01 -1.172943e-01 1.389784e+00 2.319404e+00 6.199479e-01 1.104004e+00 9.520200e-01 -7.884242e-01 3.768573e-01 1.430545e+00 -1.704615e-01 1.764278e+00 -1.221766e+01 3.443588e+01 8.545596e+00 -1.128577e+01 4.290049e+00 3.050647e+00 -3.150610e+00 -1.203292e+01 4.391691e+00 3.278441e-01 3.166171e-01 -3.099086e-02 -2.440091e-01 -1.216951e-01 1.038362e-01 3.306905e-01 7.278488e-01 2.859965e-01 2.911449e-01 1.058444e+00 -6.426050e-01 1.445101e+00 -1.128658e+00 -2.977385e+00 -2.499094e-01 -6.638814e-01 1.336086e+00 2.008383e+01 3.771886e+00 -4.047414e-01 1.795161e+00 2.072338e+00 2.913010e+00 -3.772028e+00 1.270397e+00 8.943160e-01 1.061719e+00 1.489433e+00 -8.876490e-01 1.253082e+00 -2.633096e-01 7.050399e-01 -1.456497e+01 -1.098812e+00 4.692631e-01 6.356182e+00 6.532671e+00 
4 81  2.269154068231397314e+00 0 0 1.975748e+00 5.346199e-01 -6.257497e-01 -4.849659e-01 1.781762e+00 -6.899353e-01 5.458399e+00 -1.128960e+00 5.647503e+00 3.404416e-01 -1.857191e+00 -5.589103e-01 1.398459e+00 -9.367278e-03 7.093738e-01 1.200929e+00 6.659358e-01 5.408739e-01 1.948899e+00 5.168175e-01 1.005091e+00 2.221472e-01 1.201183e+00 -6.130186e-01 -9.112157e-02 1.488783e+00 2.307510e+00 6.605899e-01 1.186503e+00 9.314664e-01 -9.279673e-01 3.046864e-01 1.460756e+00 -1.090976e-01 1.806221e+00 -1.140236e+01 3.469397e+01 8.911243e+00 -1.116622e+01 2.784757e+00 3.072170e+00 -3.985811e+00 -1.283785e+01 5.392645e+00 2.502329e-01 3.048846e-01 -7.276979e-02 -2.044916e-01 -2.011197e-01 6.189255e-02 3.061371e-01 7.605376e-01 2.410347e-01 2.704841e-01 1.028475e+00 -6.012294e-01 1.344022e+00 -1.218428e+00 -3.036213e+00 -2.313147e-01 -6.541137e-01 1.311659e+00 2.055206e+01 3.906099e+00 -4.658013e-01 1.870154e+00 2.053811e+00 2.979747e+00 -3.874883e+00 1.244263e+00 8.501968e-01 1.063059e+00 1.422422e+00 -9.260293e-01 1.250841e+00 -3.308599e-01 8.718240e-01 -1.474340e+01 -1.028219e+00 5.432038e-01 5.679002e+00 6.306362e+00 
5 101  2.319262735126906172e+00 0 0 7.881921e-01 5.041297e-01 -6.162107e-01 -5.831827e-01 1.749041e+00 -1.191011e+00 5.077171e+00 -7.167439e-01 5.160054e+00 6.732401e-01 -1.582964e+00 -3.636816e-01 1.631001e+00 -4.192656e-01 6.754414e-01 1.149262e+00 6.264155e-01 5.979159e-01 1.972653e+00 5.783167e-01 1.035600e+00 1.806077e-01 1.150190e+00 -6.736455e-01 -7.489364e-02 1.421724e+00 2.339150e+00 6.470778e-01 1.190418e+00 9.476922e-01 -8.467461e-01 3.594409e-01 1.388052e+00 -2.048973e-01 1.796431e+00 -1.134603e+01 3.552146e+01 9.739855e+00 -1.313548e+01 4.574943e+00 4.576253e+00 -4.046168e+00 -1.289069e+01 5.104379e+00 2.957838e-01 2.796080e-01 -9.753629e-02 -2.781107e-01 -1.928378e-01 1.106299e-01 2.410917e-01 8.015435e-01 1.529257e-01 3.435949e-01 1.055380e+00 -5.946697e-01 1.471552e+00 -1.115805e+00 -3.004537e+00 -1.776880e-01 -6.752185e-01 1.370145e+00 1.971553e+01 3.890616e+00 -4.724047e-01 1.750555e+00 2.044321e+00 3.295958e+00 -3.725300e+00 1.212355e+00 9.409670e-01 1.050552e+00 1.485698e+00 -8.552991e-01 1.165500e+00 -2.756777e-01 3.450381e-01 -1.452778e+01 -1.072440e+00 5.391331e-01 6.826677e+00 5.948686e+00 
6 121  2.261600221234725705e+00 0 0 2.266541e+00 5.818963e-01 -6.287144e-01 -4.582013e-01 1.741875e+00 -9.227027e-01 4.795702e+00 -1.007462e+00 5.534748e+00 6.053740e-01 -1.521190e+00 -4.927346e-01 1.383911e+00 -2.920640e-01 6.932067e-01 1.140943e+00 6.592389e-01 5.893592e-01 1.947573e+00 5.148676e-01 1.097211e+00 6.893290e-02 1.139285e+00 -6.450263e-01 -7.737793e-02 1.393519e+00 2.331066e+00 6.253440e-01 1.212913e+00 9.092178e-01 -7.856557e-01 3.416219e-01 1.360990e+00 -2.430064e-01 1.828344e+00 -1.081403e+01 3.419722e+01 8.182408e+00 -1.274340e+01 4.290456e+00 3.556964e+00 -3.856288e+00 -1.225636e+01 3.202113e+00 2.973742e-01 3.226804e-01 -7.276805e-02 -2.402151e-01 -1.434666e-01 1.492860e-01 3.049511e-01 7.128761e-01 2.656945e-01 2.949825e-01 1.114895e+00 -6.127719e-01 1.430513e+00 -1.131000e+00 -3.007059e+00 -2.076200e-01 -6.977730e-01 1.287425e+00 1.965560e+01 4.685477e+00 -3.787761e-01 1.776839e+00 1.989100e+00 3.172327e+00 -3.475492e+00 1.294333e+00 9.131757e-01 1.053545e+00 1.452832e+00 -8.634125e-01 1.233432e+00 -2.545554e-01 9.525873e-01 -1.443446e+01 -1.013293e+00 5.003901e-01 6.991306e+00 5.840138e+00 
7 141  2.264281926257858846e+00 0 0 2.005252e+00 5.019189e-01 -5.818624e-01 -4.997663e-01 1.691301e+00 -8.371843e-01 4.535629e+00 -9.681357e-01 5.626401e+00 5.607231e-01 -1.699314e+00 -3.127765e-02 1.245254e+00 -4.977791e-01 6.482659e-01 1.159733e+00 6.315162e-01 5.839740e-01 1.899579e+00 4.648009e-01 1.025127e+00 1.375786e-01 1.085290e+00 -6.420132e-01 -5.216223e-02 1.444875e+00 2.297510e+00 6.392747e-01 1.200277e+00 9.174370e-01 -8.350201e-01 3.718432e-01 1.410558e+00 -2.120572e-01 1.772977e+00 -1.156989e+01 3.401542e+01 8.148470e+00 -1.357603e+01 4.909133e+00 2.920438e+00 -3.804075e+00 -1.346441e+01 4.574333e+00 3.015775e-01 2.837029e-01 -5.622630e-02 -1.923533e-01 -1.509124e-01 1.311560e-01 2.460002e-01 7.493499e-01 1.533047e-01 2.744173e-01 1.048118e+00 -5.950983e-01 1.508294e+00 -1.103279e+00 -2.937643e+00 -2.734227e-01 -7.209044e-01 1.288346e+00 2.009535e+01 3.760712e+00 -4.952506e-01 1.830555e+00 2.090117e+00 3.254681e+00 -3.880526e+00 1.230308e+00 9.229501e-01 1.021349e+00 1.420672e+00 -8.812499e-01 1.313057e+00 -2.710490e-01 6.950289e-01 -1.667657e+01 -1.052981e+00 5.347679e-01 6.527678e+00 6.102780e+00 
8 161  2.261856523092228066e+00 0 0 9.186470e-01 5.156196e-01 -5.977354e-01 -5.073689e-01 1.731465e+00 -8.336803e-01 4.833333e+00 -1.046311e+00 5.843052e+00 4.292920e-01 -8.937153e-01 -2.015214e-01 1.392079e+00 -4.077201e-01 6.350652e-01 1.163404e+00 6.389830e-01 5.466741e-01 1.993100e+00 4.909207e-01 1.003124e+00 1.275876e-01 1.077402e+00 -6.632751e-01 -8.291583e-02 1.428335e+00 2.258678e+00 5.067910e-01 1.161223e+00 8.828858e-01 -8.508636e-01 3.247002e-01 1.409737e+00 -2.391182e-01 1.833845e+00 -1.082011e+01 3.406760e+01 8.216313e+00 -1.383039e+01 3.446202e+00 3.585763e+00 -4.881106e+00 -1.170041e+01 4.854249e+00 3.411728e-01 2.900686e-01 -5.388126e-02 -2.204837e-01 -9.027924e-02 2.157285e-01 3.360626e-01 7.589506e-01 2.360095e-01 1.977657e-01 1.039535e+00 -5.313510e-01 1.436357e+00 -1.080691e+00 -3.034212e+00 -2.886380e-01 -7.496868e-01 1.256278e+00 1.984704e+01 4.868463e+00 -4.860610e-01 1.764457e+00 2.049457e+00 3.272234e+00 -3.716907e+00 1.265232e+00 8.436464e-01 9.884603e-01 1.538377e+00 -9.149639e-01 1.350192e+00 -3.510780e-01 1.232950e+00 -1.528670e+01 -1.012126e+00 4.682796e-01 7.308838e+00 6.226813e+00 
9 181  2.199858876985065770e+00 0 0 2.308835e+00 5.855283e-01 -6.358225e-01 -5.237616e-01 1.757725e+00 -7.732749e-01 4.377227e+00 -2.450543e-01 5.291019e+00 4.986824e-01 -2.150732e+00 -2.216565e-01 1.131890e+00 -3.963413e-01 6.754993e-01 1.160661e+00 6.728752e-01 5.669801e-01 1.996918e+00 5.453927e-01 1.020130e+00 2.220001e-01 1.127812e+00 -6.701400e-01 -1.093972e-01 1.425351e+00 2.259150e+00 6.488744e-01 1.203539e+00 8.647085e-01 -8.577804e-01 2.813370e-01 1.294962e+00 -2.531178e-01 1.845027e+00 -1.263340e+01 3.526071e+01 8.650969e+00 -1.467112e+01 3.621721e+00 3.219870e+00 -3.943051e+00 -1.304656e+01 5.418882e+00 3.418647e-01 3.258743e-01 -7.331121e-02 -1.503032e-01 -4.153848e-02 1.062092e-01 2.751779e-01 7.742885e-01 1.477803e-01 1.810196e-01 9.973028e-01 -6.027202e-01 1.393214e+00 -1.136671e+00 -3.003652e+00 -2.056428e-01 -7.068247e-01 1.241858e+00 2.016728e+01 4.382231e+00 -4.882837e-01 1.725676e+00 2.056170e+00 2.835442e+00 -3.579230e+00 1.291478e+00 8.853967e-01 9.324456e-01 1.460544e+00 -8.820293e-01 1.242945e+00 -2.446923e-01 1.241662e+00 -1.480334e+01 -1.042328e+00 5.319627e-01 7.185829e+00 6.268618e+00 
10 201  2.279585721580486890e+00 0 0 1.764447e+00 5.948482e-01 -6.015720e-01 -5.736743e-01 1.690364e+00 -9.717730e-01 4.558610e+00 -1.161633e+00 5.535107e+00 8.548165e-01 -1.805065e+00 -2.187696e-02 6.543386e-01 -5.739320e-01 6.993348e-01 1.125680e+00 6.920867e-01 6.066173e-01 1.916129e+00 4.759718e-01 1.061811e+00 1.136485e-01 1.137627e+00 -6.929172e-01 -5.360707e-02 1.413871e+00 2.311360e+00 6.019117e-01 1.151453e+00 8.486614e-01 -8.570079e-01 2.771025e-01 1.425714e+00 -2.642796e-01 1.874724e+00 -1.264203e+01 3.451467e+01 9.207071e+00 -1.432369e+01 3.534672e+00 2.744543e+00 -4.376690e+00 -1.239387e+01 4.202430e+00 3.721193e-01 3.075214e-01 -8.790711e-02 -2.480895e-01 -1.335334e-01 1.577865e-01 2.934441e-01 8.056761e-01 1.778022e-01 2.004749e-01 1.040664e+00 -5.992437e-01 1.365855e+00 -1.117640e+00 -2.912911e+00 -2.077600e-01 -7.520362e-01 1.307856e+00 1.989574e+01 4.381684e+00 -5.138026e-01 1.746222e+00 2.044606e+00 3.126349e+00 -3.552493e+00 1.289969e+00 8.753047e-01 1.013556e+00 1.516847e+00 -8.530863e-01 1.241556e+00 -2.575073e-01 9.185724e-01 -1.481673e+01 -1.022629e+00 5.455104e-01 7.411797e+00 6.355925e+00 
