%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=211705, 2017/09/28 17:7:39.85)
1 11 1.853741e-01 1.020206e+00  2.280578033588454200e+01  1.993158660556691800e+03  1.995069102254226000e+03  2.000355539999557500e+03
2 21 1.777530e-01 1.036031e+00  2.280578033588454200e+01  2.238093709194651000e+02  1.995192163217514500e+03  1.998119091095964000e+03
3 31 1.715414e-01 1.046405e+00  2.163777147389992500e+01  2.163777147389992500e+01  1.994048373462154800e+03  1.998353197244016000e+03
4 41 1.676216e-01 1.056179e+00  2.163777147389992500e+01  2.108182577082776000e+02  1.993891218546443700e+03  1.997860057353253800e+03
5 51 1.611283e-01 1.069630e+00  2.163777147389992500e+01  2.346109500251817400e+01  1.994038909499251300e+03  1.999227275397783600e+03
6 61 1.561074e-01 1.081417e+00  2.163777147389992500e+01  1.993021733846310800e+03  1.996711881200078600e+03  1.998365572096848800e+03
7 71 1.536160e-01 1.101978e+00  2.163777147389992500e+01  9.950121577583433900e+02  1.994985338548598100e+03  2.000047992790451600e+03
8 81 1.517637e-01 1.112146e+00  2.163777147389992500e+01  1.991808361636525400e+03  1.995959999671262500e+03  1.999452895377975200e+03
9 91 1.485282e-01 1.121066e+00  2.163777147389992500e+01  2.114210891548509900e+02  1.994378560928260400e+03  1.997834027944216400e+03
10 101 1.459836e-01 1.134643e+00  2.163777147389992500e+01  2.155876929070397500e+02  1.992216297292884300e+03  1.993936570863596400e+03
11 111 1.448822e-01 1.144475e+00  2.163777147389992500e+01  2.072480250357566000e+02  1.993667910447477400e+03  1.997254301348192900e+03
12 121 1.411248e-01 1.152487e+00  2.086929145749233800e+01  2.086929145749233800e+01  1.995673547636387000e+03  1.998346929385212700e+03
13 132 1.365272e-01 1.160446e+00  2.086929145749233800e+01  2.236312944925983000e+02  1.989587612436800800e+03  1.998260682768294600e+03
14 142 1.336169e-01 1.174650e+00  2.086929145749233800e+01  1.115306021213535400e+03  1.994165543011484500e+03  1.998413261893795800e+03
15 152 1.342112e-01 1.192074e+00  2.086929145749233800e+01  2.107375075524990700e+01  1.992593524999939300e+03  1.994282933143207400e+03
16 162 1.369153e-01 1.211139e+00  2.086929145749233800e+01  3.267482105140922500e+01  1.993168142933483100e+03  1.999285385072569200e+03
17 172 1.356570e-01 1.223702e+00  2.070007796796242900e+01  2.070007796796242900e+01  1.992258071145110800e+03  1.998295347868135200e+03
18 182 1.336854e-01 1.233434e+00  2.070007796796242900e+01  2.574587047417510600e+01  1.481958800499376600e+03  1.995150958396943700e+03
19 192 1.328986e-01 1.238893e+00  2.070007796796242900e+01  2.182929172630063900e+01  1.993651789624818300e+03  1.999202985476733800e+03
20 202 1.285341e-01 1.243040e+00  2.070007796796242900e+01  2.338876277642139100e+01  1.992977026029062000e+03  1.996396523426845100e+03
21 212 1.242765e-01 1.245969e+00  2.058998245715492500e+01  2.058998245715492500e+01  1.985812960310937300e+03  1.997089092567352300e+03
22 222 1.210783e-01 1.245175e+00  2.058998245715492500e+01  2.069441606374681400e+01  1.042608661976584700e+03  1.995567751088585100e+03
23 232 1.148623e-01 1.248731e+00  1.821643089675889400e+01  1.821643089675889400e+01  1.993536596160857200e+03  1.995182861161787300e+03
24 242 1.107407e-01 1.255306e+00  1.821643089675889400e+01  2.152234024383271900e+01  1.125015455846369400e+03  2.000082717747760400e+03
25 252 1.084109e-01 1.259789e+00  1.821643089675889400e+01  2.325379529181132200e+01  6.600833302261321500e+02  1.993680521423740900e+03
26 262 1.049814e-01 1.260969e+00  1.821643089675889400e+01  2.143363375387319500e+01  6.951320580826077300e+02  1.997890122026469700e+03
27 272 1.018604e-01 1.262386e+00  1.821643089675889400e+01  2.360008124031011400e+01  1.990194241008820000e+03  1.997188123096209900e+03
28 282 9.963767e-02 1.263641e+00  1.821643089675889400e+01  2.085625785077393200e+01  2.877073173778566100e+02  1.999094390212979800e+03
29 292 9.898358e-02 1.263787e+00  1.821643089675889400e+01  1.980410620420617100e+01  2.572281441971080100e+01  1.994901393507156600e+03
30 302 9.833966e-02 1.276211e+00  1.821643089675889400e+01  1.955352000148676000e+01  2.452995927687842400e+02  1.998450610509209100e+03
31 312 9.659462e-02 1.278132e+00  1.821643089675889400e+01  2.003149434265267800e+01  2.104847822758276300e+01  1.993995656232255400e+03
32 322 9.539483e-02 1.280811e+00  1.821643089675889400e+01  1.900697283087556900e+01  2.140367456362072300e+02  1.994130734584612400e+03
33 332 9.596205e-02 1.285974e+00  1.821643089675889400e+01  2.393311340101985300e+01  1.993175535847383300e+03  1.994895160208619500e+03
34 342 9.694034e-02 1.288458e+00  1.767159050549170000e+01  1.767159050549170000e+01  2.753824825977909000e+02  1.997186650006609200e+03
35 352 9.933292e-02 1.290909e+00  1.767159050549170000e+01  2.087217620665314800e+01  1.113370841106815500e+03  1.999067410768720500e+03
36 362 1.013171e-01 1.290879e+00  1.767159050549170000e+01  2.236565055972922500e+01  1.994307559839807300e+03  1.999787797682302400e+03
37 372 1.023683e-01 1.296281e+00  1.767159050549170000e+01  1.853218123229761400e+01  6.922704130516046900e+02  1.999507636090407900e+03
38 382 1.014602e-01 1.302879e+00  1.653975221960266100e+01  1.653975221960266100e+01  1.543063873958278200e+03  1.995526628585656900e+03
39 392 9.829318e-02 1.306200e+00  1.653975221960266100e+01  1.787207057869110800e+01  1.541848076712340100e+03  1.996057979398578500e+03
